Leitura,Data,Hora,Temperatura(C),Umidade(%)
138,2025-10-05,12:19:34,30.60,39.80
139,2025-10-05,12:19:54,30.60,40.70
140,2025-10-05,12:20:14,30.60,40.60
141,2025-10-05,12:20:34,30.50,39.80
142,2025-10-05,12:20:54,30.50,40.00
143,2025-10-05,12:21:14,30.50,39.30
144,2025-10-05,12:21:34,30.50,38.80
145,2025-10-05,12:21:54,30.40,39.00
146,2025-10-05,12:22:14,30.40,38.80
147,2025-10-05,12:22:34,30.50,38.80
148,2025-10-05,12:22:54,30.50,39.30
149,2025-10-05,12:23:14,30.50,40.30
150,2025-10-05,12:23:34,30.50,39.70
151,2025-10-05,12:23:54,30.50,39.90
152,2025-10-05,12:24:14,30.50,39.10
153,2025-10-05,12:24:34,30.50,39.10
154,2025-10-05,12:24:54,30.50,39.50
155,2025-10-05,12:25:14,30.50,38.70
156,2025-10-05,12:25:34,30.60,37.40
157,2025-10-05,12:25:54,30.70,37.00
158,2025-10-05,12:26:14,30.70,37.90
159,2025-10-05,12:26:34,30.60,38.40
160,2025-10-05,12:26:54,30.60,38.70
161,2025-10-05,12:27:14,30.60,38.60
162,2025-10-05,12:27:34,30.50,38.80
163,2025-10-05,12:27:54,30.50,39.80
164,2025-10-05,12:28:14,30.50,39.90
165,2025-10-05,12:28:34,30.40,39.40
166,2025-10-05,12:28:54,30.40,39.70
167,2025-10-05,12:29:14,30.40,40.20
168,2025-10-05,12:29:34,30.40,40.50
169,2025-10-05,12:29:54,30.40,39.00
170,2025-10-05,12:30:14,30.40,39.10
171,2025-10-05,12:30:34,30.40,38.40
172,2025-10-05,12:30:54,30.40,38.00
173,2025-10-05,12:31:14,30.40,39.40
174,2025-10-05,12:31:34,30.50,40.40
175,2025-10-05,12:31:54,30.50,40.20
176,2025-10-05,12:32:14,30.50,39.50
177,2025-10-05,12:32:34,30.50,39.30
178,2025-10-05,12:32:54,30.50,38.80
179,2025-10-05,12:33:14,30.40,38.00
180,2025-10-05,12:33:34,30.40,37.70
181,2025-10-05,12:33:54,30.40,37.70
182,2025-10-05,12:34:14,30.30,38.00
183,2025-10-05,12:34:34,30.30,38.60
184,2025-10-05,12:34:54,30.30,39.00
185,2025-10-05,12:35:14,30.30,38.90
186,2025-10-05,12:35:34,30.30,39.30
187,2025-10-05,12:35:54,30.30,38.90
188,2025-10-05,12:36:14,30.20,38.10
189,2025-10-05,12:36:34,30.30,38.50
190,2025-10-05,12:36:54,30.20,39.10
191,2025-10-05,12:37:14,30.30,39.40
192,2025-10-05,12:37:34,30.30,38.50
193,2025-10-05,12:37:54,30.40,38.90
194,2025-10-05,12:38:14,30.50,39.00
195,2025-10-05,12:38:34,30.60,39.50
196,2025-10-05,12:38:54,30.60,40.20
197,2025-10-05,12:39:14,30.70,39.30
198,2025-10-05,12:39:34,30.80,38.20
199,2025-10-05,12:39:54,30.80,38.30
200,2025-10-05,12:40:14,30.80,37.80
201,2025-10-05,12:40:34,30.80,38.40
202,2025-10-05,12:40:54,30.80,37.50
203,2025-10-05,12:41:14,30.80,37.80
204,2025-10-05,12:41:34,30.70,37.80
205,2025-10-05,12:41:54,30.70,38.00
206,2025-10-05,12:42:14,30.70,38.60
207,2025-10-05,12:42:34,30.70,39.50
208,2025-10-05,12:42:54,30.70,39.70
209,2025-10-05,12:43:14,30.70,38.80
210,2025-10-05,12:43:34,30.70,38.40
211,2025-10-05,12:43:54,30.60,38.60
212,2025-10-05,12:44:14,30.60,38.80
213,2025-10-05,12:44:34,30.60,38.90
214,2025-10-05,12:44:54,30.60,38.90
215,2025-10-05,12:45:14,30.60,39.00
216,2025-10-05,12:45:34,30.50,38.70
217,2025-10-05,12:45:54,30.50,39.20
218,2025-10-05,12:46:14,30.50,39.50
219,2025-10-05,12:46:34,30.50,39.70
220,2025-10-05,12:46:54,30.50,39.80
221,2025-10-05,12:47:14,30.50,39.30
222,2025-10-05,12:47:34,30.50,39.60
223,2025-10-05,12:47:54,30.60,39.20
224,2025-10-05,12:48:14,30.60,39.30
225,2025-10-05,12:48:34,30.60,40.00
226,2025-10-05,12:48:54,30.60,39.80
227,2025-10-05,12:49:14,30.60,39.00
228,2025-10-05,12:49:34,30.60,38.70
229,2025-10-05,12:49:54,30.60,39.20
230,2025-10-05,12:50:14,30.60,39.00
231,2025-10-05,12:50:34,30.60,39.20
232,2025-10-05,12:50:54,30.60,39.20
233,2025-10-05,12:51:14,30.60,39.00
234,2025-10-05,12:51:34,30.70,38.80
235,2025-10-05,12:51:54,30.70,38.40
236,2025-10-05,12:52:14,30.70,38.30
237,2025-10-05,12:52:34,30.70,38.00
238,2025-10-05,12:52:54,30.70,38.40
239,2025-10-05,12:53:14,30.80,38.30
240,2025-10-05,12:53:34,30.80,37.60
241,2025-10-05,12:53:54,30.80,37.60
242,2025-10-05,12:54:13,30.90,37.50
243,2025-10-05,12:54:33,30.90,37.80
244,2025-10-05,12:54:53,30.90,38.30
245,2025-10-05,12:55:13,30.90,38.90
246,2025-10-05,12:55:33,30.90,38.90
247,2025-10-05,12:55:53,30.90,38.70
248,2025-10-05,12:56:13,30.90,38.30
249,2025-10-05,12:56:33,31.00,37.30
250,2025-10-05,12:56:53,31.00,37.40
251,2025-10-05,12:57:13,31.00,36.90
252,2025-10-05,12:57:33,30.90,36.60
253,2025-10-05,12:57:53,31.00,36.70
254,2025-10-05,12:58:13,31.00,36.80
255,2025-10-05,12:58:33,31.00,37.00
256,2025-10-05,12:58:53,31.10,36.80
257,2025-10-05,12:59:13,31.10,36.20
258,2025-10-05,12:59:33,31.20,35.50
259,2025-10-05,12:59:53,31.30,35.50
260,2025-10-05,13:00:13,31.40,35.50
261,2025-10-05,13:00:33,31.50,35.30
262,2025-10-05,13:00:53,31.60,35.40
263,2025-10-05,13:01:13,31.60,35.80
264,2025-10-05,13:01:33,31.70,35.70
265,2025-10-05,13:01:53,31.80,35.80
266,2025-10-05,13:02:13,31.80,35.80
267,2025-10-05,13:02:33,31.80,36.30
268,2025-10-05,13:02:53,31.70,35.40
269,2025-10-05,13:03:13,31.70,35.80
270,2025-10-05,13:03:33,31.60,36.70
271,2025-10-05,13:03:53,31.60,36.50
272,2025-10-05,13:04:13,31.50,35.90
273,2025-10-05,13:04:33,31.50,35.60
274,2025-10-05,13:04:53,31.50,35.30
275,2025-10-05,13:05:13,31.40,35.90
276,2025-10-05,13:05:33,31.30,37.00
277,2025-10-05,13:05:53,31.30,37.90
278,2025-10-05,13:06:13,31.30,38.60
279,2025-10-05,13:06:33,31.20,38.90
280,2025-10-05,13:06:53,31.20,39.20
281,2025-10-05,13:07:13,31.20,39.60
282,2025-10-05,13:07:33,31.20,39.70
283,2025-10-05,13:07:53,31.20,39.60
284,2025-10-05,13:08:13,31.20,39.40
285,2025-10-05,13:08:33,31.20,39.40
286,2025-10-05,13:08:53,31.20,38.30
287,2025-10-05,13:09:13,31.20,38.20
288,2025-10-05,13:09:33,31.20,38.80
289,2025-10-05,13:09:53,31.30,36.60
290,2025-10-05,13:10:13,31.40,35.60
291,2025-10-05,13:10:33,31.50,36.00
292,2025-10-05,13:10:53,31.40,36.60
293,2025-10-05,13:11:13,31.40,37.60
294,2025-10-05,13:11:33,31.40,38.60
295,2025-10-05,13:11:53,31.40,38.90
296,2025-10-05,13:12:13,31.40,38.20
297,2025-10-05,13:12:33,31.40,37.60
298,2025-10-05,13:12:53,31.50,36.20
299,2025-10-05,13:13:13,31.60,35.40
300,2025-10-05,13:13:33,31.60,36.40
301,2025-10-05,13:13:53,31.60,35.60
302,2025-10-05,13:14:13,31.60,35.30
303,2025-10-05,13:14:33,31.50,35.60
304,2025-10-05,13:14:53,31.60,35.60
305,2025-10-05,13:15:13,31.60,35.50
306,2025-10-05,13:15:33,31.60,35.50
307,2025-10-05,13:15:53,31.60,35.80
308,2025-10-05,13:16:13,31.50,37.10
309,2025-10-05,13:16:33,31.50,37.30
310,2025-10-05,13:16:53,31.50,37.50
311,2025-10-05,13:17:13,31.40,37.30
312,2025-10-05,13:17:33,31.40,37.40
313,2025-10-05,13:17:53,31.40,36.40
314,2025-10-05,13:18:13,31.30,37.00
315,2025-10-05,13:18:33,31.30,37.00
316,2025-10-05,13:18:53,31.30,36.80
317,2025-10-05,13:19:13,31.30,36.70
318,2025-10-05,13:19:33,31.30,36.20
319,2025-10-05,13:19:53,31.30,36.30
320,2025-10-05,13:20:13,31.30,36.30
321,2025-10-05,13:20:33,31.30,36.80
322,2025-10-05,13:20:53,31.30,37.40
323,2025-10-05,13:21:13,31.30,36.90
324,2025-10-05,13:21:33,31.20,36.40
325,2025-10-05,13:21:53,31.20,37.00
326,2025-10-05,13:22:13,31.20,37.10
327,2025-10-05,13:22:33,31.20,36.90
328,2025-10-05,13:22:53,31.20,36.30
329,2025-10-05,13:23:13,31.10,36.20
330,2025-10-05,13:23:33,31.10,36.10
331,2025-10-05,13:23:53,31.10,36.00
332,2025-10-05,13:24:13,31.10,35.60
333,2025-10-05,13:24:33,31.20,35.80
334,2025-10-05,13:24:53,31.20,36.30
335,2025-10-05,13:25:13,31.20,37.20
336,2025-10-05,13:25:33,31.30,37.30
337,2025-10-05,13:25:53,31.40,37.10
338,2025-10-05,13:26:13,31.40,36.90
339,2025-10-05,13:26:33,31.40,36.10
340,2025-10-05,13:26:53,31.50,35.80
341,2025-10-05,13:27:13,31.50,36.10
342,2025-10-05,13:27:33,31.50,36.50
343,2025-10-05,13:27:53,31.50,36.40
344,2025-10-05,13:28:13,31.50,37.50
345,2025-10-05,13:28:33,31.50,37.70
346,2025-10-05,13:28:53,31.40,37.40
347,2025-10-05,13:29:13,31.40,37.60
348,2025-10-05,13:29:33,31.40,37.70
349,2025-10-05,13:29:53,31.40,37.70
350,2025-10-05,13:30:13,31.40,38.00
351,2025-10-05,13:30:33,31.40,38.50
352,2025-10-05,13:30:53,31.40,38.50
353,2025-10-05,13:31:13,31.50,37.40
354,2025-10-05,13:31:33,31.60,35.30
355,2025-10-05,13:31:53,31.70,35.40
356,2025-10-05,13:32:13,31.70,35.70
357,2025-10-05,13:32:33,31.70,36.10
358,2025-10-05,13:32:53,31.70,35.80
359,2025-10-05,13:33:13,31.70,36.70
360,2025-10-05,13:33:33,31.80,36.90
361,2025-10-05,13:33:53,31.90,36.20
362,2025-10-05,13:34:13,32.00,36.10
363,2025-10-05,13:34:33,32.10,36.60
364,2025-10-05,13:34:53,32.10,36.70
365,2025-10-05,13:35:13,32.10,35.90
366,2025-10-05,13:35:33,32.20,35.60
367,2025-10-05,13:35:53,32.20,35.40
368,2025-10-05,13:36:13,32.20,36.10
369,2025-10-05,13:36:33,32.30,35.70
370,2025-10-05,13:36:53,32.30,35.60
371,2025-10-05,13:37:13,32.20,35.50
372,2025-10-05,13:37:33,32.20,35.90
373,2025-10-05,13:37:53,32.30,35.90
374,2025-10-05,13:38:13,32.30,35.40
375,2025-10-05,13:38:33,32.30,34.70
376,2025-10-05,13:38:53,32.30,34.80
377,2025-10-05,13:39:13,32.30,35.00
378,2025-10-05,13:39:33,32.30,35.10
379,2025-10-05,13:39:53,32.30,34.90
380,2025-10-05,13:40:13,32.30,35.20
381,2025-10-05,13:40:33,32.30,35.20
382,2025-10-05,13:40:53,32.40,35.00
383,2025-10-05,13:41:13,32.40,34.70
384,2025-10-05,13:41:33,32.40,34.30
385,2025-10-05,13:41:53,32.40,34.60
386,2025-10-05,13:42:13,32.30,34.70
387,2025-10-05,13:42:33,32.30,34.60
388,2025-10-05,13:42:53,32.20,34.10
389,2025-10-05,13:43:13,32.20,34.00
390,2025-10-05,13:43:33,32.20,34.50
391,2025-10-05,13:43:53,32.10,35.00
392,2025-10-05,13:44:13,32.10,35.40
393,2025-10-05,13:44:33,32.10,35.50
394,2025-10-05,13:44:53,32.10,36.10
395,2025-10-05,13:45:13,32.00,37.10
396,2025-10-05,13:45:33,32.00,36.90
397,2025-10-05,13:45:53,32.10,36.00
398,2025-10-05,13:46:13,32.10,34.70
399,2025-10-05,13:46:33,32.20,34.20
400,2025-10-05,13:46:53,32.20,34.20
401,2025-10-05,13:47:13,32.30,34.80
402,2025-10-05,13:47:33,32.40,35.00
403,2025-10-05,13:47:53,32.50,35.50
404,2025-10-05,13:48:13,32.60,34.80
405,2025-10-05,13:48:33,32.70,34.50
406,2025-10-05,13:48:53,32.80,34.40
407,2025-10-05,13:49:13,32.90,33.90
408,2025-10-05,13:49:33,32.90,33.60
409,2025-10-05,13:49:53,33.00,34.10
410,2025-10-05,13:50:13,33.00,34.40
411,2025-10-05,13:50:33,33.00,34.00
412,2025-10-05,13:50:53,33.00,33.90
413,2025-10-05,13:51:13,32.90,34.40
414,2025-10-05,13:51:33,32.90,34.40
415,2025-10-05,13:51:53,32.90,34.00
416,2025-10-05,13:52:13,32.90,34.40
417,2025-10-05,13:52:33,32.90,34.40
418,2025-10-05,13:52:53,32.80,34.80
419,2025-10-05,13:53:13,32.80,35.10
420,2025-10-05,13:53:33,32.80,35.10
421,2025-10-05,13:53:53,32.70,35.20
422,2025-10-05,13:54:13,32.70,35.20
423,2025-10-05,13:54:33,32.60,35.30
424,2025-10-05,13:54:53,32.60,35.90
425,2025-10-05,13:55:13,32.70,36.40
426,2025-10-05,13:55:33,32.80,35.80
427,2025-10-05,13:55:53,33.00,34.60
