[2025-10-04 14:33:43] Dispositivo: Pico W_11f0bb, Leitura: 34, Horario: 2025-10-04 14:33:43, Temp: 27.8, Umid: 46.9
[2025-10-04 14:34:05] Dispositivo: Pico W_11f0bb, Leitura: 35, Horario: 2025-10-04 14:34:05, Temp: 27.8, Umid: 47.0
[2025-10-04 14:34:27] Dispositivo: Pico W_11f0bb, Leitura: 36, Horario: 2025-10-04 14:34:28, Temp: 27.8, Umid: 47.2
[2025-10-04 14:34:50] Dispositivo: Pico W_11f0bb, Leitura: 37, Horario: 2025-10-04 14:34:50, Temp: 27.8, Umid: 46.9
[2025-10-04 14:35:12] Dispositivo: Pico W_11f0bb, Leitura: 38, Horario: 2025-10-04 14:35:12, Temp: 27.8, Umid: 46.8
[2025-10-04 14:35:34] Dispositivo: Pico W_11f0bb, Leitura: 39, Horario: 2025-10-04 14:35:35, Temp: 27.8, Umid: 47.1
[2025-10-04 14:35:57] Dispositivo: Pico W_11f0bb, Leitura: 40, Horario: 2025-10-04 14:35:57, Temp: 27.8, Umid: 47.1
[2025-10-04 14:36:19] Dispositivo: Pico W_11f0bb, Leitura: 41, Horario: 2025-10-04 14:36:19, Temp: 27.7, Umid: 46.9
[2025-10-04 14:36:41] Dispositivo: Pico W_11f0bb, Leitura: 42, Horario: 2025-10-04 14:36:42, Temp: 27.7, Umid: 47.1
[2025-10-04 14:37:04] Dispositivo: Pico W_11f0bb, Leitura: 43, Horario: 2025-10-04 14:37:04, Temp: 27.7, Umid: 47.4
[2025-10-04 14:37:26] Dispositivo: Pico W_11f0bb, Leitura: 44, Horario: 2025-10-04 14:37:26, Temp: 27.7, Umid: 47.1
[2025-10-04 14:37:48] Dispositivo: Pico W_11f0bb, Leitura: 45, Horario: 2025-10-04 14:37:48, Temp: 27.7, Umid: 47.1
[2025-10-04 14:38:11] Dispositivo: Pico W_11f0bb, Leitura: 46, Horario: 2025-10-04 14:38:11, Temp: 27.7, Umid: 47.0
[2025-10-04 14:38:33] Dispositivo: Pico W_11f0bb, Leitura: 47, Horario: 2025-10-04 14:38:33, Temp: 27.8, Umid: 47.0
