Data;Hora (UTC);Temp. Ins. (C);Umi. Ins. (%)
23/10/2025;0900;14;73
23/10/2025;1000;14.9;68.5
23/10/2025;1100;17.8;57.4
23/10/2025;1200;20.4;45.7
23/10/2025;1300;22.1;39.4
23/10/2025;1400;23.2;36.7
23/10/2025;1500;24.5;28
23/10/2025;1600;25.3;26
23/10/2025;1700;26.5;25.8
23/10/2025;1800;26.9;25
23/10/2025;1900;27.2;22.4
23/10/2025;2000;26.1;33
23/10/2025;2100;22.8;48.9
;;;
;;24.30833333;44.15
