Leitura,Horario,Temperatura(C),Umidade(%),Dispositivo
7,2025-10-23 07:23:13,18.7,56.9,Pico W_11f0bb
8,2025-10-23 07:23:36,19.0,56.3,Pico W_11f0bb
9,2025-10-23 07:23:58,19.2,55.1,Pico W_11f0bb
10,2025-10-23 07:24:20,19.4,54.8,Pico W_11f0bb
11,2025-10-23 07:24:43,19.9,54.2,Pico W_11f0bb
12,2025-10-23 07:25:05,20.2,53.3,Pico W_11f0bb
13,2025-10-23 07:25:27,20.4,52.5,Pico W_11f0bb
14,2025-10-23 07:25:50,20.5,52.1,Pico W_11f0bb
15,2025-10-23 07:26:12,20.8,52.3,Pico W_11f0bb
16,2025-10-23 07:26:34,21.0,51.5,Pico W_11f0bb
17,2025-10-23 07:26:57,20.9,50.9,Pico W_11f0bb
18,2025-10-23 07:27:19,20.7,51.1,Pico W_11f0bb
19,2025-10-23 07:27:41,20.8,51.0,Pico W_11f0bb
20,2025-10-23 07:28:04,20.8,50.8,Pico W_11f0bb
21,2025-10-23 07:28:26,20.8,50.9,Pico W_11f0bb
22,2025-10-23 07:28:48,21.0,50.9,Pico W_11f0bb
23,2025-10-23 07:29:11,21.0,50.7,Pico W_11f0bb
24,2025-10-23 07:29:33,21.1,50.8,Pico W_11f0bb
25,2025-10-23 07:29:55,21.3,50.4,Pico W_11f0bb
26,2025-10-23 07:30:18,21.2,49.8,Pico W_11f0bb
27,2025-10-23 07:30:40,20.7,50.1,Pico W_11f0bb
28,2025-10-23 07:31:02,20.3,50.8,Pico W_11f0bb
29,2025-10-23 07:31:25,20.2,51.5,Pico W_11f0bb
30,2025-10-23 07:31:47,20.4,51.6,Pico W_11f0bb
31,2025-10-23 07:32:09,20.6,51.5,Pico W_11f0bb
32,2025-10-23 07:32:32,20.8,51.0,Pico W_11f0bb
33,2025-10-23 07:32:54,21.0,50.5,Pico W_11f0bb
34,2025-10-23 07:33:17,21.0,50.2,Pico W_11f0bb
35,2025-10-23 07:33:39,21.3,49.9,Pico W_11f0bb
36,2025-10-23 07:34:01,21.2,49.6,Pico W_11f0bb
37,2025-10-23 07:34:24,21.0,49.7,Pico W_11f0bb
38,2025-10-23 07:34:46,21.1,49.8,Pico W_11f0bb
39,2025-10-23 07:35:08,20.9,49.8,Pico W_11f0bb
40,2025-10-23 07:35:31,20.8,50.2,Pico W_11f0bb
41,2025-10-23 07:35:53,20.7,50.4,Pico W_11f0bb
42,2025-10-23 07:36:15,20.6,50.6,Pico W_11f0bb
43,2025-10-23 07:36:38,20.7,50.8,Pico W_11f0bb
44,2025-10-23 07:37:00,20.9,50.5,Pico W_11f0bb
45,2025-10-23 07:37:22,20.9,50.3,Pico W_11f0bb
46,2025-10-23 07:37:45,21.1,50.1,Pico W_11f0bb
47,2025-10-23 07:38:07,20.9,49.7,Pico W_11f0bb
48,2025-10-23 07:38:29,20.9,49.9,Pico W_11f0bb
49,2025-10-23 07:38:52,21.2,49.8,Pico W_11f0bb
50,2025-10-23 07:39:14,21.4,49.3,Pico W_11f0bb
51,2025-10-23 07:39:36,21.4,49.3,Pico W_11f0bb
52,2025-10-23 07:39:59,21.7,48.9,Pico W_11f0bb
53,2025-10-23 07:40:21,22.0,48.3,Pico W_11f0bb
54,2025-10-23 07:40:43,22.1,48.0,Pico W_11f0bb
55,2025-10-23 07:41:06,22.0,48.0,Pico W_11f0bb
56,2025-10-23 07:41:28,22.0,48.0,Pico W_11f0bb
57,2025-10-23 07:41:50,22.1,48.2,Pico W_11f0bb
58,2025-10-23 07:42:13,22.1,48.0,Pico W_11f0bb
59,2025-10-23 07:42:35,22.2,47.7,Pico W_11f0bb
60,2025-10-23 07:42:57,22.3,47.7,Pico W_11f0bb
61,2025-10-23 07:43:20,22.4,47.6,Pico W_11f0bb
62,2025-10-23 07:43:42,22.3,47.1,Pico W_11f0bb
63,2025-10-23 07:44:04,22.3,47.5,Pico W_11f0bb
64,2025-10-23 07:44:27,22.4,47.5,Pico W_11f0bb
