[2025-10-03 18:40:09] Dispositivo: Pico W_11f0bb, Leitura: 21, Horario: 2025-10-03 18:40:10, Temp: 23.2, Umid: 68.6
[2025-10-03 18:40:31] Dispositivo: Pico W_11f60f, Leitura: 22, Horario: 2025-10-03 18:40:31, Temp: 23.3, Umid: 70.6
[2025-10-03 18:40:32] Dispositivo: Pico W_11f0bb, Leitura: 22, Horario: 2025-10-03 18:40:32, Temp: 23.2, Umid: 68.7
[2025-10-03 18:40:53] Dispositivo: Pico W_11f60f, Leitura: 23, Horario: 2025-10-03 18:40:54, Temp: 23.3, Umid: 70.5
[2025-10-03 18:40:54] Dispositivo: Pico W_11f0bb, Leitura: 23, Horario: 2025-10-03 18:40:55, Temp: 23.2, Umid: 68.8
[2025-10-03 18:41:15] Dispositivo: Pico W_11f60f, Leitura: 24, Horario: 2025-10-03 18:41:16, Temp: 23.3, Umid: 70.6
[2025-10-03 18:41:17] Dispositivo: Pico W_11f0bb, Leitura: 24, Horario: 2025-10-03 18:41:17, Temp: 23.2, Umid: 68.7
[2025-10-03 18:41:38] Dispositivo: Pico W_11f60f, Leitura: 25, Horario: 2025-10-03 18:41:38, Temp: 23.3, Umid: 70.6
[2025-10-03 18:41:39] Dispositivo: Pico W_11f0bb, Leitura: 25, Horario: 2025-10-03 18:41:39, Temp: 23.2, Umid: 68.8
[2025-10-03 18:42:00] Dispositivo: Pico W_11f60f, Leitura: 26, Horario: 2025-10-03 18:42:01, Temp: 23.3, Umid: 70.5
[2025-10-03 18:42:01] Dispositivo: Pico W_11f0bb, Leitura: 26, Horario: 2025-10-03 18:42:02, Temp: 23.3, Umid: 68.7
[2025-10-03 18:42:22] Dispositivo: Pico W_11f60f, Leitura: 27, Horario: 2025-10-03 18:42:23, Temp: 23.3, Umid: 70.5
[2025-10-03 18:42:23] Dispositivo: Pico W_11f0bb, Leitura: 27, Horario: 2025-10-03 18:42:24, Temp: 23.2, Umid: 68.8
[2025-10-03 18:42:45] Dispositivo: Pico W_11f60f, Leitura: 28, Horario: 2025-10-03 18:42:45, Temp: 23.3, Umid: 70.6
[2025-10-03 18:42:46] Dispositivo: Pico W_11f0bb, Leitura: 28, Horario: 2025-10-03 18:42:46, Temp: 23.2, Umid: 68.9
[2025-10-03 18:43:07] Dispositivo: Pico W_11f60f, Leitura: 29, Horario: 2025-10-03 18:43:07, Temp: 23.2, Umid: 70.7
[2025-10-03 18:43:08] Dispositivo: Pico W_11f0bb, Leitura: 29, Horario: 2025-10-03 18:43:09, Temp: 23.1, Umid: 69.0
[2025-10-03 18:43:29] Dispositivo: Pico W_11f60f, Leitura: 30, Horario: 2025-10-03 18:43:30, Temp: 23.2, Umid: 70.7
[2025-10-03 18:43:30] Dispositivo: Pico W_11f0bb, Leitura: 30, Horario: 2025-10-03 18:43:31, Temp: 23.2, Umid: 69.1
[2025-10-03 18:43:52] Dispositivo: Pico W_11f60f, Leitura: 31, Horario: 2025-10-03 18:43:52, Temp: 23.2, Umid: 70.8
[2025-10-03 18:43:53] Dispositivo: Pico W_11f0bb, Leitura: 31, Horario: 2025-10-03 18:43:53, Temp: 23.1, Umid: 69.1
[2025-10-03 18:44:14] Dispositivo: Pico W_11f60f, Leitura: 32, Horario: 2025-10-03 18:44:14, Temp: 23.2, Umid: 70.8
[2025-10-03 18:44:15] Dispositivo: Pico W_11f0bb, Leitura: 32, Horario: 2025-10-03 18:44:16, Temp: 23.1, Umid: 69.2
[2025-10-03 18:44:36] Dispositivo: Pico W_11f60f, Leitura: 33, Horario: 2025-10-03 18:44:37, Temp: 23.1, Umid: 70.9
[2025-10-03 18:44:37] Dispositivo: Pico W_11f0bb, Leitura: 33, Horario: 2025-10-03 18:44:38, Temp: 23.1, Umid: 69.3
[2025-10-03 18:44:58] Dispositivo: Pico W_11f60f, Leitura: 34, Horario: 2025-10-03 18:44:59, Temp: 23.2, Umid: 70.9
[2025-10-03 18:45:00] Dispositivo: Pico W_11f0bb, Leitura: 34, Horario: 2025-10-03 18:45:00, Temp: 23.1, Umid: 69.4
[2025-10-03 18:45:21] Dispositivo: Pico W_11f60f, Leitura: 35, Horario: 2025-10-03 18:45:21, Temp: 23.2, Umid: 70.9
[2025-10-03 18:45:22] Dispositivo: Pico W_11f0bb, Leitura: 35, Horario: 2025-10-03 18:45:23, Temp: 23.1, Umid: 69.3
[2025-10-03 18:45:43] Dispositivo: Pico W_11f60f, Leitura: 36, Horario: 2025-10-03 18:45:44, Temp: 23.2, Umid: 70.9
[2025-10-03 18:45:44] Dispositivo: Pico W_11f0bb, Leitura: 36, Horario: 2025-10-03 18:45:45, Temp: 23.1, Umid: 69.4
[2025-10-03 18:46:05] Dispositivo: Pico W_11f60f, Leitura: 37, Horario: 2025-10-03 18:46:06, Temp: 23.2, Umid: 70.8
[2025-10-03 18:46:07] Dispositivo: Pico W_11f0bb, Leitura: 37, Horario: 2025-10-03 18:46:07, Temp: 23.2, Umid: 69.3
[2025-10-03 18:46:28] Dispositivo: Pico W_11f60f, Leitura: 38, Horario: 2025-10-03 18:46:28, Temp: 23.2, Umid: 70.7
[2025-10-03 18:46:29] Dispositivo: Pico W_11f0bb, Leitura: 38, Horario: 2025-10-03 18:46:29, Temp: 23.1, Umid: 69.2
[2025-10-03 18:46:50] Dispositivo: Pico W_11f60f, Leitura: 39, Horario: 2025-10-03 18:46:51, Temp: 23.2, Umid: 70.7
[2025-10-03 18:46:51] Dispositivo: Pico W_11f0bb, Leitura: 39, Horario: 2025-10-03 18:46:52, Temp: 23.1, Umid: 69.2
[2025-10-03 18:47:12] Dispositivo: Pico W_11f60f, Leitura: 40, Horario: 2025-10-03 18:47:13, Temp: 23.2, Umid: 70.7
[2025-10-03 18:47:13] Dispositivo: Pico W_11f0bb, Leitura: 40, Horario: 2025-10-03 18:47:14, Temp: 23.1, Umid: 69.3
[2025-10-03 18:47:35] Dispositivo: Pico W_11f60f, Leitura: 41, Horario: 2025-10-03 18:47:35, Temp: 23.2, Umid: 70.8
[2025-10-03 18:47:36] Dispositivo: Pico W_11f0bb, Leitura: 41, Horario: 2025-10-03 18:47:36, Temp: 23.1, Umid: 69.3
[2025-10-03 18:47:57] Dispositivo: Pico W_11f60f, Leitura: 42, Horario: 2025-10-03 18:47:57, Temp: 23.2, Umid: 70.9
[2025-10-03 18:47:58] Dispositivo: Pico W_11f0bb, Leitura: 42, Horario: 2025-10-03 18:47:59, Temp: 23.1, Umid: 69.4
[2025-10-03 18:48:19] Dispositivo: Pico W_11f60f, Leitura: 43, Horario: 2025-10-03 18:48:20, Temp: 23.2, Umid: 70.8
[2025-10-03 18:48:20] Dispositivo: Pico W_11f0bb, Leitura: 43, Horario: 2025-10-03 18:48:21, Temp: 23.1, Umid: 69.4
[2025-10-03 18:48:42] Dispositivo: Pico W_11f60f, Leitura: 44, Horario: 2025-10-03 18:48:42, Temp: 23.2, Umid: 70.9
[2025-10-03 18:48:43] Dispositivo: Pico W_11f0bb, Leitura: 44, Horario: 2025-10-03 18:48:43, Temp: 23.1, Umid: 69.4
[2025-10-03 18:49:04] Dispositivo: Pico W_11f60f, Leitura: 45, Horario: 2025-10-03 18:49:04, Temp: 23.2, Umid: 70.9
[2025-10-03 18:49:05] Dispositivo: Pico W_11f0bb, Leitura: 45, Horario: 2025-10-03 18:49:06, Temp: 23.1, Umid: 69.4
[2025-10-03 18:49:26] Dispositivo: Pico W_11f60f, Leitura: 46, Horario: 2025-10-03 18:49:27, Temp: 23.2, Umid: 70.8
[2025-10-03 18:49:27] Dispositivo: Pico W_11f0bb, Leitura: 46, Horario: 2025-10-03 18:49:28, Temp: 23.1, Umid: 69.4
[2025-10-03 18:49:48] Dispositivo: Pico W_11f60f, Leitura: 47, Horario: 2025-10-03 18:49:49, Temp: 23.2, Umid: 70.9
[2025-10-03 18:49:50] Dispositivo: Pico W_11f0bb, Leitura: 47, Horario: 2025-10-03 18:49:50, Temp: 23.1, Umid: 69.5
[2025-10-03 18:50:11] Dispositivo: Pico W_11f60f, Leitura: 48, Horario: 2025-10-03 18:50:11, Temp: 23.2, Umid: 70.8
[2025-10-03 18:50:12] Dispositivo: Pico W_11f0bb, Leitura: 48, Horario: 2025-10-03 18:50:13, Temp: 23.1, Umid: 69.5
[2025-10-03 18:50:33] Dispositivo: Pico W_11f60f, Leitura: 49, Horario: 2025-10-03 18:50:34, Temp: 23.1, Umid: 70.9
