Leitura;Data;Hora;Temperatura(C);Umidade(%)
144;03/10/2025;19:19:10;23;69.4
145;03/10/2025;19:19:30;23;69.5
146;03/10/2025;19:19:50;23;69.4
147;03/10/2025;19:20:10;23;69.3
148;03/10/2025;19:20:30;23;69.3
149;03/10/2025;19:20:50;23;69.3
150;03/10/2025;19:21:10;23;69.3
151;03/10/2025;19:21:30;23;69.4
152;03/10/2025;19:21:50;23;69.6
153;03/10/2025;19:22:10;22.9;69.5
154;03/10/2025;19:22:30;22.9;69.6
155;03/10/2025;19:22:50;22.9;69.7
156;03/10/2025;19:23:10;22.9;69.8
157;03/10/2025;19:23:30;22.9;69.7
158;03/10/2025;19:23:50;22.9;69.7
159;03/10/2025;19:24:10;22.9;69.7
160;03/10/2025;19:24:30;22.9;69.7
161;03/10/2025;19:24:50;22.9;69.8
162;03/10/2025;19:25:10;22.9;69.7
163;03/10/2025;19:25:30;22.9;69.6
164;03/10/2025;19:25:50;23;69.5
165;03/10/2025;19:26:10;23;69.4
166;03/10/2025;19:26:30;23;69.5
167;03/10/2025;19:26:50;23;69.6
168;03/10/2025;19:27:10;23;69.7
169;03/10/2025;19:27:30;23;69.9
170;03/10/2025;19:27:50;23;69.6
171;03/10/2025;19:28:10;23;69.3
172;03/10/2025;19:28:30;23;69.2
173;03/10/2025;19:28:50;23;69.2
174;03/10/2025;19:29:10;23;69.2
175;03/10/2025;19:29:30;22.9;69.1
176;03/10/2025;19:29:50;23;69.5
177;03/10/2025;19:30:10;23;69.4
178;03/10/2025;19:30:30;22.9;69.3
179;03/10/2025;19:30:50;23;69.3
180;03/10/2025;19:31:10;22.9;69.3
181;03/10/2025;19:31:30;22.9;69.4
182;03/10/2025;19:31:50;22.9;69.4
183;03/10/2025;19:32:10;22.9;69.5
184;03/10/2025;19:32:30;22.9;69.5
185;03/10/2025;19:32:50;22.8;69.5
186;03/10/2025;19:33:10;22.9;69.6
187;03/10/2025;19:33:30;22.9;69.6
188;03/10/2025;19:33:50;22.9;69.5
189;03/10/2025;19:34:10;22.9;69.4
190;03/10/2025;19:34:30;22.8;69.4
191;03/10/2025;19:34:50;22.8;69.5
192;03/10/2025;19:35:10;22.8;69.6
193;03/10/2025;19:35:30;22.8;69.7
194;03/10/2025;19:35:50;22.8;69.7
195;03/10/2025;19:36:10;22.8;69.7
196;03/10/2025;19:36:30;22.8;69.7
197;03/10/2025;19:36:50;22.8;69.8
198;03/10/2025;19:37:10;22.8;69.7
199;03/10/2025;19:37:30;22.8;69.8
200;03/10/2025;19:37:50;22.8;69.9
201;03/10/2025;19:38:10;22.8;69.7
202;03/10/2025;19:38:30;22.8;69.6
203;03/10/2025;19:38:50;22.8;69.6
204;03/10/2025;19:39:10;22.8;69.5
205;03/10/2025;19:39:30;22.8;69.6
206;03/10/2025;19:39:50;22.8;69.6
207;03/10/2025;19:40:10;22.8;69.6
208;03/10/2025;19:40:30;22.8;69.6
209;03/10/2025;19:40:50;22.8;69.6
210;03/10/2025;19:41:10;22.8;69.6
211;03/10/2025;19:41:30;22.7;69.4
212;03/10/2025;19:41:50;22.8;69.4
213;03/10/2025;19:42:10;22.7;69.4
214;03/10/2025;19:42:30;22.7;69.4
215;03/10/2025;19:42:50;22.7;69.3
216;03/10/2025;19:43:10;22.6;69.5
217;03/10/2025;19:43:30;22.6;69.5
218;03/10/2025;19:43:50;22.6;69.5
219;03/10/2025;19:44:10;22.6;69.6
220;03/10/2025;19:44:30;22.5;69.6
221;03/10/2025;19:44:50;22.6;69.6
222;03/10/2025;19:45:10;22.6;69.7
223;03/10/2025;19:45:30;22.6;69.6
224;03/10/2025;19:45:50;22.5;69.6
225;03/10/2025;19:46:10;22.5;69.8
226;03/10/2025;19:46:30;22.5;69.8
227;03/10/2025;19:46:50;22.5;69.8
228;03/10/2025;19:47:10;22.5;69.6
229;03/10/2025;19:47:30;22.5;69.6
230;03/10/2025;19:47:50;22.5;69.8
231;03/10/2025;19:48:10;22.5;69.8
232;03/10/2025;19:48:30;22.4;69.8
233;03/10/2025;19:48:50;22.4;69.9
234;03/10/2025;19:49:10;22.4;69.9
235;03/10/2025;19:49:30;22.4;69.9
236;03/10/2025;19:49:50;22.4;70
237;03/10/2025;19:50:10;22.4;69.9
