Contagem;Dispositivo;Data;Hora;Temperatura;Umidade
1;Pico W_F0BB;2025-10-06;12:47:24;37.80;27.50
2;Pico W_F0BB;2025-10-06;12:47:44;37.60;27.30
3;Pico W_F0BB;2025-10-06;12:48:04;37.50;27.70
4;Pico W_F0BB;2025-10-06;12:48:25;37.50;27.60
5;Pico W_F0BB;2025-10-06;12:48:45;37.20;27.20
6;Pico W_F0BB;2025-10-06;12:49:05;37.10;27.60
7;Pico W_F0BB;2025-10-06;12:49:26;37.10;27.60
8;Pico W_F0BB;2025-10-06;12:49:46;37.00;28.00
9;Pico W_F0BB;2025-10-06;12:50:06;37.10;28.20
10;Pico W_F0BB;2025-10-06;12:50:27;37.20;27.90
11;Pico W_F0BB;2025-10-06;12:50:47;37.30;28.10
12;Pico W_F0BB;2025-10-06;12:51:07;37.50;28.40
13;Pico W_F0BB;2025-10-06;12:51:28;37.60;28.00
14;Pico W_F0BB;2025-10-06;12:51:48;37.70;27.90
15;Pico W_F0BB;2025-10-06;12:52:08;37.70;28.30
16;Pico W_F0BB;2025-10-06;12:52:28;37.90;28.40
17;Pico W_F0BB;2025-10-06;12:52:49;38.00;27.90
18;Pico W_F0BB;2025-10-06;12:53:09;38.10;27.60
19;Pico W_F0BB;2025-10-06;12:53:29;38.10;27.30
20;Pico W_F0BB;2025-10-06;12:53:50;38.10;27.20
21;Pico W_F0BB;2025-10-06;12:54:10;38.10;27.10
22;Pico W_F0BB;2025-10-06;12:54:30;38.00;27.20
23;Pico W_F0BB;2025-10-06;12:54:51;38.00;27.40
24;Pico W_F0BB;2025-10-06;12:55:11;37.90;27.60
25;Pico W_F0BB;2025-10-06;12:55:31;37.80;27.40
26;Pico W_F0BB;2025-10-06;12:55:51;37.60;27.60
27;Pico W_F0BB;2025-10-06;12:56:12;37.60;28.10
28;Pico W_F0BB;2025-10-06;12:56:32;37.50;27.60
29;Pico W_F0BB;2025-10-06;12:56:52;37.30;27.70
30;Pico W_F0BB;2025-10-06;12:57:13;36.90;28.10
31;Pico W_F0BB;2025-10-06;12:57:33;36.70;28.10
32;Pico W_F0BB;2025-10-06;12:57:53;36.60;28.60
33;Pico W_F0BB;2025-10-06;12:58:14;36.60;28.60
34;Pico W_F0BB;2025-10-06;12:58:34;36.60;28.60
35;Pico W_F0BB;2025-10-06;12:58:54;36.70;29.20
36;Pico W_F0BB;2025-10-06;12:59:15;36.90;28.80
37;Pico W_F0BB;2025-10-06;12:59:35;37.10;29.10
38;Pico W_F0BB;2025-10-06;12:59:55;37.30;28.50
39;Pico W_F0BB;2025-10-06;13:00:15;37.40;28.20
40;Pico W_F0BB;2025-10-06;13:00:36;37.40;28.40
41;Pico W_F0BB;2025-10-06;13:00:56;37.40;28.50
42;Pico W_F0BB;2025-10-06;13:01:16;37.50;28.60
43;Pico W_F0BB;2025-10-06;13:01:37;37.60;28.60
44;Pico W_F0BB;2025-10-06;13:01:57;37.60;28.70
45;Pico W_F0BB;2025-10-06;13:02:17;37.50;28.20
46;Pico W_F0BB;2025-10-06;13:02:38;37.40;28.40
47;Pico W_F0BB;2025-10-06;13:02:58;37.40;29.00
48;Pico W_F0BB;2025-10-06;13:03:18;37.30;28.50
49;Pico W_F0BB;2025-10-06;13:03:38;37.40;28.50
50;Pico W_F0BB;2025-10-06;13:03:59;37.40;28.70
51;Pico W_F0BB;2025-10-06;13:04:19;37.40;29.20
52;Pico W_F0BB;2025-10-06;13:04:39;37.50;28.70
53;Pico W_F0BB;2025-10-06;13:05:00;37.60;28.90
54;Pico W_F0BB;2025-10-06;13:05:20;37.60;28.50
55;Pico W_F0BB;2025-10-06;13:05:40;37.50;28.50
56;Pico W_F0BB;2025-10-06;13:06:01;37.40;28.40
57;Pico W_F0BB;2025-10-06;13:06:21;37.40;28.90
58;Pico W_F0BB;2025-10-06;13:06:41;37.40;28.60
59;Pico W_F0BB;2025-10-06;13:07:02;37.40;28.40
60;Pico W_F0BB;2025-10-06;13:07:22;37.30;28.60
