Leitura;Data;Hora;Temperatura(C);Umidade(%)
274;01/01/2000;01:31:19;34.6;31.3
275;01/01/2000;01:31:39;34.7;31.2
276;01/01/2000;01:31:59;34.7;31.4
277;01/01/2000;01:32:19;34.8;32
278;01/01/2000;01:32:39;34.8;30.2
279;01/01/2000;01:32:59;34.9;31
280;01/01/2000;01:33:19;34.8;31.9
281;01/01/2000;01:33:39;34.8;31.7
282;01/01/2000;01:33:59;34.8;32.5
283;01/01/2000;01:34:18;34.8;32.3
284;01/01/2000;01:34:38;34.7;30.6
285;01/01/2000;01:34:58;34.7;29.8
286;01/01/2000;01:35:18;34.7;30
287;01/01/2000;01:35:38;34.6;30.1
288;01/01/2000;01:35:58;34.6;29.9
289;01/01/2000;01:36:18;34.6;29.5
290;01/01/2000;01:36:38;34.6;29.4
291;01/01/2000;01:36:58;34.5;30.2
292;01/01/2000;01:37:18;34.5;31.1
293;01/01/2000;01:37:38;34.5;31.1
294;01/01/2000;01:37:58;34.5;31.2
295;01/01/2000;01:38:18;34.4;31.2
296;01/01/2000;01:38:38;34.4;30.6
297;01/01/2000;01:38:58;34.4;30.3
298;01/01/2000;01:39:18;34.3;30.6
299;01/01/2000;01:39:38;34.3;30.9
300;01/01/2000;01:39:58;34.4;31.1
301;01/01/2000;01:40:18;34.4;31.2
302;01/01/2000;01:40:38;34.4;30.6
303;01/01/2000;01:40:58;34.4;31
304;01/01/2000;01:41:18;34.4;31.6
305;01/01/2000;01:41:38;34.4;31.6
306;01/01/2000;01:41:58;34.4;30.6
307;01/01/2000;01:42:18;34.5;30.5
308;01/01/2000;01:42:38;34.5;31.6
309;01/01/2000;01:42:58;34.5;31.5
310;01/01/2000;01:43:18;34.5;31.4
311;01/01/2000;01:43:38;34.5;31.2
312;01/01/2000;01:43:58;34.5;31.7
313;01/01/2000;01:44:18;34.4;30
314;01/01/2000;01:44:38;34.4;29.1
315;01/01/2000;01:44:58;34.4;29.4
316;01/01/2000;01:45:18;34.4;29.9
317;01/01/2000;01:45:38;34.3;30.4
318;01/01/2000;01:45:58;34.3;30.1
319;01/01/2000;01:46:18;34.3;29.9
320;01/01/2000;01:46:38;34.3;30.1
321;01/01/2000;01:46:58;34.2;30.7
322;01/01/2000;01:47:18;34.2;31
323;01/01/2000;01:47:38;34.2;31.5
324;01/01/2000;01:47:58;34.1;31.8
325;01/01/2000;01:48:18;34;31.3
326;01/01/2000;01:48:38;34;30.6
327;01/01/2000;01:48:58;34;31.7
328;01/01/2000;01:49:18;34;30.3
329;01/01/2000;01:49:38;34;29.7
330;01/01/2000;01:49:58;34;29.9
331;01/01/2000;01:50:18;33.9;29.7
332;01/01/2000;01:50:38;33.9;29.8
333;01/01/2000;01:50:58;33.9;30.3
334;01/01/2000;01:51:18;34;30.4
335;01/01/2000;01:51:38;34;31.1
336;01/01/2000;01:51:58;34.1;30.1
337;01/01/2000;01:52:18;34.1;30.8
338;01/01/2000;01:52:38;34.1;31
339;01/01/2000;01:52:58;34.2;30.9
