Leitura;Data;Hora;Temperatura(C);Umidade(%)
415;01/01/2000;02:18:18;33.3;31.4
416;01/01/2000;02:18:38;33.4;32.1
417;01/01/2000;02:18:58;33.4;32.3
418;01/01/2000;02:19:18;33.4;33
419;01/01/2000;02:19:38;33.4;33.8
420;01/01/2000;02:19:58;33.4;33.1
421;01/01/2000;02:20:18;33.4;32.8
422;01/01/2000;02:20:38;33.4;32
423;01/01/2000;02:20:58;33.4;31.4
424;01/01/2000;02:21:18;33.4;32.2
425;01/01/2000;02:21:38;33.4;32.4
426;01/01/2000;02:21:58;33.4;33.2
427;01/01/2000;02:22:18;33.4;32.8
428;01/01/2000;02:22:38;33.4;31.5
429;01/01/2000;02:22:58;33.4;31
430;01/01/2000;02:23:18;33.4;30.6
431;01/01/2000;02:23:38;33.4;30.7
432;01/01/2000;02:23:58;33.4;31.1
433;01/01/2000;02:24:18;33.3;30.8
434;01/01/2000;02:24:38;33.3;30.6
435;01/01/2000;02:24:58;33.3;30.7
436;01/01/2000;02:25:18;33.3;30.9
437;01/01/2000;02:25:38;33.3;30.5
438;01/01/2000;02:25:58;33.3;30.4
439;01/01/2000;02:26:18;33.3;30.7
440;01/01/2000;02:26:38;33.3;30.6
441;01/01/2000;02:26:58;33.3;30.8
442;01/01/2000;02:27:18;33.3;31.2
443;01/01/2000;02:27:38;33.2;31.6
444;01/01/2000;02:27:58;33.2;32
445;01/01/2000;02:28:18;33.2;32.1
446;01/01/2000;02:28:38;33.2;31.6
447;01/01/2000;02:28:58;33.1;32
448;01/01/2000;02:29:18;33.1;32.1
449;01/01/2000;02:29:38;33.1;32.5
450;01/01/2000;02:29:58;33.1;32.8
451;01/01/2000;02:30:18;33;32.9
452;01/01/2000;02:30:38;33.1;32.7
453;01/01/2000;02:30:58;33;32.6
454;01/01/2000;02:31:18;33;33
455;01/01/2000;02:31:38;33;33.3
456;01/01/2000;02:31:58;33;33.6
457;01/01/2000;02:32:18;33;33.5
458;01/01/2000;02:32:38;33;33.2
459;01/01/2000;02:32:58;33;33.3
460;01/01/2000;02:33:18;33;33
461;01/01/2000;02:33:38;32.9;32.6
462;01/01/2000;02:33:58;33;32.3
463;01/01/2000;02:34:18;33;32.1
464;01/01/2000;02:34:38;33;32.8
465;01/01/2000;02:34:58;33;32.4
466;01/01/2000;02:35:18;33;31.7
467;01/01/2000;02:35:38;33;31.8
468;01/01/2000;02:35:58;33;32.5
469;01/01/2000;02:36:18;33;32.2
470;01/01/2000;02:36:38;33;32.3
471;01/01/2000;02:36:58;33;32.7
472;01/01/2000;02:37:18;33;32.2
473;01/01/2000;02:37:38;33;31.8
474;01/01/2000;02:37:58;33;31.3
475;01/01/2000;02:38:18;33;31.4
476;01/01/2000;02:38:38;33;31.1
477;01/01/2000;02:38:58;33;31.1
478;01/01/2000;02:39:18;33;31.3
479;01/01/2000;02:39:38;33;31.8
480;01/01/2000;02:39:58;33;32.3
481;01/01/2000;02:40:18;33;32.7
482;01/01/2000;02:40:38;33;33.3
483;01/01/2000;02:40:58;33;33
484;01/01/2000;02:41:18;33;32.9
485;01/01/2000;02:41:38;33;33.6
486;01/01/2000;02:41:58;33;34.8
487;01/01/2000;02:42:18;32.9;34.5
488;01/01/2000;02:42:38;33;34.7
489;01/01/2000;02:42:58;32.9;34.9
490;01/01/2000;02:43:18;32.9;35
491;01/01/2000;02:43:38;32.9;33.6
492;01/01/2000;02:43:58;32.9;32
493;01/01/2000;02:44:18;32.9;30.9
494;01/01/2000;02:44:38;33;31
495;01/01/2000;02:44:58;33;32.2
496;01/01/2000;02:45:18;33;31.8
497;01/01/2000;02:45:38;33.1;30.3
498;01/01/2000;02:45:58;33.1;30.9
499;01/01/2000;02:46:18;33.1;31.6
500;01/01/2000;02:46:38;33.1;30.9
501;01/01/2000;02:46:58;33.2;31.3
502;01/01/2000;02:47:18;33.2;32.8
503;01/01/2000;02:47:38;33.2;32.6
504;01/01/2000;02:47:58;33.1;31.5
505;01/01/2000;02:48:18;33.2;31.6
506;01/01/2000;02:48:38;33.2;31.3
507;01/01/2000;02:48:58;33.1;30.9
508;01/01/2000;02:49:18;33.2;31.8
509;01/01/2000;02:49:38;33.1;32.1
510;01/01/2000;02:49:58;33.2;31.8
511;01/01/2000;02:50:18;33.2;30.9
512;01/01/2000;02:50:38;33.2;31.7
513;01/01/2000;02:50:58;33.2;31.9
514;01/01/2000;02:51:18;33.2;32.2
515;01/01/2000;02:51:38;33.2;32.5
516;01/01/2000;02:51:58;33.1;33.5
517;01/01/2000;02:52:18;33.1;33.7
518;01/01/2000;02:52:38;33.1;31.3
519;01/01/2000;02:52:58;33.1;31.8
520;01/01/2000;02:53:18;33.1;31.1
521;01/01/2000;02:53:38;33.1;31.9
522;01/01/2000;02:53:58;33.1;32.4
523;01/01/2000;02:54:18;33.1;32.8
524;01/01/2000;02:54:38;33.1;33.3
525;01/01/2000;02:54:58;33;33.5
526;01/01/2000;02:55:18;33;34.1
527;01/01/2000;02:55:38;33;34.3
528;01/01/2000;02:55:58;33;33.7
529;01/01/2000;02:56:18;33;32.9
530;01/01/2000;02:56:38;33;33.7
