Contagem;Dispositivo;Data;Hora;Temperatura;Umidade
1;Pico W_F0BB;15/10/2025;08:01:43;23.8;53.6
2;Pico W_F0BB;15/10/2025;08:02:03;23.7;53.8
3;Pico W_F0BB;15/10/2025;08:02:23;23.8;53.9
4;Pico W_F0BB;15/10/2025;08:02:44;23.8;53.9
5;Pico W_F0BB;15/10/2025;08:03:04;23.7;54
6;Pico W_F0BB;15/10/2025;08:03:24;23.6;54.1
7;Pico W_F0BB;15/10/2025;08:03:45;23.5;54.6
8;Pico W_F0BB;15/10/2025;08:04:05;23.5;54.6
9;Pico W_F0BB;15/10/2025;08:04:25;23.4;54.6
10;Pico W_F0BB;15/10/2025;08:04:46;23.3;54.9
11;Pico W_F0BB;15/10/2025;08:05:06;23.4;54.9
12;Pico W_F0BB;15/10/2025;08:05:26;23.4;54.8
13;Pico W_F0BB;15/10/2025;08:05:47;23.6;54.8
14;Pico W_F0BB;15/10/2025;08:06:07;23.8;54.6
15;Pico W_F0BB;15/10/2025;08:06:27;24.1;54.3
16;Pico W_F0BB;15/10/2025;08:06:47;24.5;53.6
17;Pico W_F0BB;15/10/2025;08:07:08;24.6;52.8
18;Pico W_F0BB;15/10/2025;08:07:28;24.6;52.5
19;Pico W_F0BB;15/10/2025;08:07:48;24.5;52.6
20;Pico W_F0BB;15/10/2025;08:08:09;24.6;52.6
21;Pico W_F0BB;15/10/2025;08:08:29;24.6;52.3
22;Pico W_F0BB;15/10/2025;08:08:49;24.7;52.3
23;Pico W_F0BB;15/10/2025;08:09:10;24.5;52.4
24;Pico W_F0BB;15/10/2025;08:09:30;24.2;52.5
25;Pico W_F0BB;15/10/2025;08:09:50;24;53.1
26;Pico W_F0BB;15/10/2025;08:10:10;23.9;53.4
27;Pico W_F0BB;15/10/2025;08:10:31;23.9;53.5
28;Pico W_F0BB;15/10/2025;08:10:51;23.8;53.7
29;Pico W_F0BB;15/10/2025;08:11:11;23.7;54
30;Pico W_F0BB;15/10/2025;08:11:32;23.8;54.2
31;Pico W_F0BB;15/10/2025;08:11:52;24;54.1
32;Pico W_F0BB;15/10/2025;08:12:12;24.1;53.8
33;Pico W_F0BB;15/10/2025;08:12:33;24.3;53.4
34;Pico W_F0BB;15/10/2025;08:12:53;24.5;53.1
35;Pico W_F0BB;15/10/2025;08:13:13;24.7;52.6
36;Pico W_F0BB;15/10/2025;08:13:34;24.7;52.5
