[2025-09-30 13:42:03] Dispositivo: Pico W_11f0bb, Leitura: 21, Horario: 2025-09-30 13:31:32, Temp: 36.9, Umid: 25.9
[2025-09-30 13:42:03] Dispositivo: Pico W_11f0bb, Leitura: 22, Horario: 2025-09-30 13:34:35, Temp: 36.7, Umid: 25.9
[2025-09-30 13:42:03] Dispositivo: Pico W_11f0bb, Leitura: 23, Horario: 2025-09-30 13:37:37, Temp: 36.1, Umid: 26.2
[2025-09-30 13:42:03] Dispositivo: Pico W_11f0bb, Leitura: 24, Horario: 2025-09-30 13:40:39, Temp: 36.3, Umid: 26.1
[2025-09-30 13:43:41] Dispositivo: Pico W_11f0bb, Leitura: 25, Horario: 2025-09-30 13:43:41, Temp: 36.9, Umid: 25.7
[2025-09-30 13:47:30] Dispositivo: Pico W_11f0bb, Leitura: 26, Horario: 2025-09-30 13:46:44, Temp: 37.0, Umid: 25.9
[2025-09-30 13:49:47] Dispositivo: Pico W_11f0bb, Leitura: 27, Horario: 2025-09-30 13:49:46, Temp: 37.0, Umid: 26.6
[2025-09-30 14:05:57] Dispositivo: Pico W_11f0bb, Leitura: 28, Horario: 2025-09-30 13:52:48, Temp: 37.3, Umid: 26.7
[2025-09-30 14:05:57] Dispositivo: Pico W_11f0bb, Leitura: 29, Horario: 2025-09-30 13:55:51, Temp: 37.4, Umid: 27.4
[2025-09-30 14:05:57] Dispositivo: Pico W_11f0bb, Leitura: 30, Horario: 2025-09-30 13:58:53, Temp: 37.9, Umid: 26.4
[2025-09-30 14:05:57] Dispositivo: Pico W_11f0bb, Leitura: 31, Horario: 2025-09-30 14:01:55, Temp: 37.3, Umid: 25.8
[2025-09-30 14:05:57] Dispositivo: Pico W_11f0bb, Leitura: 32, Horario: 2025-09-30 14:04:58, Temp: 36.4, Umid: 26.3
[2025-09-30 14:07:53] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 14:07:53, Temp: 34.1, Umid: 29.1
[2025-09-30 14:07:59] Dispositivo: Pico W_11f0bb, Leitura: 33, Horario: 2025-09-30 14:08:00, Temp: 36.2, Umid: 26.8
[2025-09-30 14:09:53] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 14:09:54, Temp: 35.0, Umid: 27.5
[2025-09-30 14:11:02] Dispositivo: Pico W_11f0bb, Leitura: 34, Horario: 2025-09-30 14:11:02, Temp: 35.7, Umid: 27.1
[2025-09-30 14:12:40] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 14:12:40, Temp: 34.8, Umid: 27.7
[2025-09-30 14:14:04] Dispositivo: Pico W_11f0bb, Leitura: 35, Horario: 2025-09-30 14:14:05, Temp: 35.8, Umid: 27.2
[2025-09-30 14:15:42] Dispositivo: Pico W_11f60f, Leitura: 2, Horario: 2025-09-30 14:15:42, Temp: 34.8, Umid: 27.2
[2025-09-30 14:17:06] Dispositivo: Pico W_11f0bb, Leitura: 36, Horario: 2025-09-30 14:17:07, Temp: 36.7, Umid: 26.9
[2025-09-30 14:17:49] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 14:17:50, Temp: 34.6, Umid: 26.8
[2025-09-30 14:20:08] Dispositivo: Pico W_11f0bb, Leitura: 37, Horario: 2025-09-30 14:20:09, Temp: 37.2, Umid: 27.0
[2025-09-30 14:20:34] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 14:20:34, Temp: 34.5, Umid: 27.1
[2025-09-30 14:23:11] Dispositivo: Pico W_11f0bb, Leitura: 38, Horario: 2025-09-30 14:23:12, Temp: 37.6, Umid: 26.5
[2025-09-30 14:23:37] Dispositivo: Pico W_11f60f, Leitura: 2, Horario: 2025-09-30 14:23:37, Temp: 34.4, Umid: 26.9
