[2025-09-30 21:09:35] Dispositivo: Pico W_11f0bb, Leitura: 22, Horario: 2025-09-30 21:09:36, Temp: 28.4, Umid: 40.7
[2025-09-30 21:10:44] Dispositivo: Pico W_11f60f, Leitura: 18, Horario: 2025-09-30 21:10:45, Temp: 29.9, Umid: 37.1
[2025-09-30 21:12:38] Dispositivo: Pico W_11f0bb, Leitura: 23, Horario: 2025-09-30 21:12:38, Temp: 28.5, Umid: 40.3
[2025-09-30 21:13:47] Dispositivo: Pico W_11f60f, Leitura: 19, Horario: 2025-09-30 21:13:47, Temp: 29.9, Umid: 36.9
[2025-09-30 21:15:40] Dispositivo: Pico W_11f0bb, Leitura: 24, Horario: 2025-09-30 21:15:40, Temp: 28.4, Umid: 40.5
[2025-09-30 21:16:49] Dispositivo: Pico W_11f60f, Leitura: 20, Horario: 2025-09-30 21:16:50, Temp: 29.8, Umid: 36.9
[2025-09-30 21:18:42] Dispositivo: Pico W_11f0bb, Leitura: 25, Horario: 2025-09-30 21:18:42, Temp: 28.4, Umid: 40.2
[2025-09-30 21:19:52] Dispositivo: Pico W_11f60f, Leitura: 21, Horario: 2025-09-30 21:19:52, Temp: 29.8, Umid: 36.6
[2025-09-30 21:21:45] Dispositivo: Pico W_11f0bb, Leitura: 26, Horario: 2025-09-30 21:21:45, Temp: 28.4, Umid: 40.2
[2025-09-30 21:22:54] Dispositivo: Pico W_11f60f, Leitura: 22, Horario: 2025-09-30 21:22:54, Temp: 29.8, Umid: 36.8
[2025-09-30 21:24:47] Dispositivo: Pico W_11f0bb, Leitura: 27, Horario: 2025-09-30 21:24:47, Temp: 28.3, Umid: 40.4
[2025-09-30 21:25:56] Dispositivo: Pico W_11f60f, Leitura: 23, Horario: 2025-09-30 21:25:57, Temp: 29.8, Umid: 36.8
[2025-09-30 21:27:50] Dispositivo: Pico W_11f0bb, Leitura: 28, Horario: 2025-09-30 21:27:49, Temp: 28.3, Umid: 40.4
[2025-09-30 21:28:58] Dispositivo: Pico W_11f60f, Leitura: 24, Horario: 2025-09-30 21:28:59, Temp: 29.9, Umid: 36.7
[2025-09-30 21:30:52] Dispositivo: Pico W_11f0bb, Leitura: 29, Horario: 2025-09-30 21:30:52, Temp: 28.3, Umid: 40.5
[2025-09-30 21:32:01] Dispositivo: Pico W_11f60f, Leitura: 25, Horario: 2025-09-30 21:32:01, Temp: 30.0, Umid: 36.6
[2025-09-30 21:33:54] Dispositivo: Pico W_11f0bb, Leitura: 30, Horario: 2025-09-30 21:33:54, Temp: 28.3, Umid: 40.5
[2025-09-30 21:35:03] Dispositivo: Pico W_11f60f, Leitura: 26, Horario: 2025-09-30 21:35:04, Temp: 30.0, Umid: 36.8
[2025-09-30 21:36:56] Dispositivo: Pico W_11f0bb, Leitura: 31, Horario: 2025-09-30 21:36:56, Temp: 28.2, Umid: 41.5
[2025-09-30 21:38:05] Dispositivo: Pico W_11f60f, Leitura: 27, Horario: 2025-09-30 21:38:06, Temp: 30.1, Umid: 37.2
[2025-09-30 21:39:59] Dispositivo: Pico W_11f0bb, Leitura: 32, Horario: 2025-09-30 21:39:59, Temp: 28.1, Umid: 41.0
[2025-09-30 21:41:07] Dispositivo: Pico W_11f60f, Leitura: 28, Horario: 2025-09-30 21:41:08, Temp: 29.1, Umid: 38.8
