[2025-10-01 09:48:14] Dispositivo: Pico W_11f0bb, Leitura: 21, Horario: 2025-10-01 09:48:15, Temp: 46.1, Umid: 24.8
[2025-10-01 09:50:58] Dispositivo: Pico W_11f60f, Leitura: 22, Horario: 2025-10-01 09:50:59, Temp: 39.0, Umid: 28.2
[2025-10-01 09:51:16] Dispositivo: Pico W_11f0bb, Leitura: 22, Horario: 2025-10-01 09:51:17, Temp: 45.6, Umid: 25.2
[2025-10-01 09:54:00] Dispositivo: Pico W_11f60f, Leitura: 23, Horario: 2025-10-01 09:54:01, Temp: 38.2, Umid: 29.7
[2025-10-01 09:54:18] Dispositivo: Pico W_11f0bb, Leitura: 23, Horario: 2025-10-01 09:54:19, Temp: 47.1, Umid: 24.4
[2025-10-01 09:57:03] Dispositivo: Pico W_11f60f, Leitura: 24, Horario: 2025-10-01 09:57:03, Temp: 37.6, Umid: 30.2
[2025-10-01 09:57:21] Dispositivo: Pico W_11f0bb, Leitura: 24, Horario: 2025-10-01 09:57:21, Temp: 47.0, Umid: 24.2
[2025-10-01 10:00:05] Dispositivo: Pico W_11f60f, Leitura: 25, Horario: 2025-10-01 10:00:06, Temp: 35.7, Umid: 32.6
[2025-10-01 10:00:23] Dispositivo: Pico W_11f0bb, Leitura: 25, Horario: 2025-10-01 10:00:24, Temp: 46.0, Umid: 24.6
[2025-10-01 10:03:07] Dispositivo: Pico W_11f60f, Leitura: 26, Horario: 2025-10-01 10:03:08, Temp: 34.1, Umid: 34.9
[2025-10-01 10:03:25] Dispositivo: Pico W_11f0bb, Leitura: 26, Horario: 2025-10-01 10:03:26, Temp: 44.6, Umid: 25.6
[2025-10-01 10:06:10] Dispositivo: Pico W_11f60f, Leitura: 27, Horario: 2025-10-01 10:06:10, Temp: 34.8, Umid: 34.7
[2025-10-01 10:06:28] Dispositivo: Pico W_11f0bb, Leitura: 27, Horario: 2025-10-01 10:06:28, Temp: 45.9, Umid: 24.9
[2025-10-01 10:09:12] Dispositivo: Pico W_11f60f, Leitura: 28, Horario: 2025-10-01 10:09:12, Temp: 34.6, Umid: 34.7
[2025-10-01 10:09:30] Dispositivo: Pico W_11f0bb, Leitura: 28, Horario: 2025-10-01 10:09:31, Temp: 46.4, Umid: 24.2
[2025-10-01 10:12:14] Dispositivo: Pico W_11f60f, Leitura: 29, Horario: 2025-10-01 10:12:15, Temp: 34.8, Umid: 34.8
[2025-10-01 10:12:32] Dispositivo: Pico W_11f0bb, Leitura: 29, Horario: 2025-10-01 10:12:33, Temp: 44.5, Umid: 25.9
[2025-10-01 10:15:17] Dispositivo: Pico W_11f60f, Leitura: 30, Horario: 2025-10-01 10:15:17, Temp: 34.6, Umid: 34.8
[2025-10-01 10:15:35] Dispositivo: Pico W_11f0bb, Leitura: 30, Horario: 2025-10-01 10:15:35, Temp: 44.8, Umid: 25.7
[2025-10-01 10:18:19] Dispositivo: Pico W_11f60f, Leitura: 31, Horario: 2025-10-01 10:18:19, Temp: 35.2, Umid: 34.3
[2025-10-01 10:18:37] Dispositivo: Pico W_11f0bb, Leitura: 31, Horario: 2025-10-01 10:18:38, Temp: 44.7, Umid: 25.7
[2025-10-01 10:21:21] Dispositivo: Pico W_11f60f, Leitura: 32, Horario: 2025-10-01 10:21:22, Temp: 35.4, Umid: 33.9
[2025-10-01 10:21:39] Dispositivo: Pico W_11f0bb, Leitura: 32, Horario: 2025-10-01 10:21:40, Temp: 43.5, Umid: 26.5
[2025-10-01 10:24:24] Dispositivo: Pico W_11f60f, Leitura: 33, Horario: 2025-10-01 10:24:24, Temp: 36.2, Umid: 33.3
[2025-10-01 10:24:42] Dispositivo: Pico W_11f0bb, Leitura: 33, Horario: 2025-10-01 10:24:42, Temp: 43.5, Umid: 26.8
[2025-10-01 10:27:26] Dispositivo: Pico W_11f60f, Leitura: 34, Horario: 2025-10-01 10:27:26, Temp: 37.8, Umid: 30.9
