[2025-10-01 19:19:30] Dispositivo: Pico W_11f0bb, Leitura: 22, Horario: 2025-10-01 19:19:30, Temp: 24.8, Umid: 50.6
[2025-10-01 19:19:48] Dispositivo: Pico W_11f60f, Leitura: 22, Horario: 2025-10-01 19:19:48, Temp: 24.8, Umid: 50.5
[2025-10-01 19:22:32] Dispositivo: Pico W_11f0bb, Leitura: 23, Horario: 2025-10-01 19:22:33, Temp: 24.7, Umid: 51.1
[2025-10-01 19:22:50] Dispositivo: Pico W_11f60f, Leitura: 23, Horario: 2025-10-01 19:22:50, Temp: 24.8, Umid: 50.9
[2025-10-01 19:25:35] Dispositivo: Pico W_11f0bb, Leitura: 24, Horario: 2025-10-01 19:25:35, Temp: 24.8, Umid: 50.6
[2025-10-01 19:25:53] Dispositivo: Pico W_11f60f, Leitura: 24, Horario: 2025-10-01 19:25:53, Temp: 24.8, Umid: 50.4
[2025-10-01 19:28:37] Dispositivo: Pico W_11f0bb, Leitura: 25, Horario: 2025-10-01 19:28:37, Temp: 24.8, Umid: 50.6
[2025-10-01 19:28:55] Dispositivo: Pico W_11f60f, Leitura: 25, Horario: 2025-10-01 19:28:55, Temp: 24.7, Umid: 50.4
[2025-10-01 19:31:39] Dispositivo: Pico W_11f0bb, Leitura: 26, Horario: 2025-10-01 19:31:40, Temp: 24.6, Umid: 51.8
[2025-10-01 19:31:57] Dispositivo: Pico W_11f60f, Leitura: 26, Horario: 2025-10-01 19:31:57, Temp: 24.7, Umid: 51.1
[2025-10-01 19:34:42] Dispositivo: Pico W_11f0bb, Leitura: 27, Horario: 2025-10-01 19:34:42, Temp: 24.9, Umid: 51.2
[2025-10-01 19:34:59] Dispositivo: Pico W_11f60f, Leitura: 27, Horario: 2025-10-01 19:35:00, Temp: 25.0, Umid: 51.4
[2025-10-01 19:37:44] Dispositivo: Pico W_11f0bb, Leitura: 28, Horario: 2025-10-01 19:37:44, Temp: 24.9, Umid: 50.7
[2025-10-01 19:38:02] Dispositivo: Pico W_11f60f, Leitura: 28, Horario: 2025-10-01 19:38:02, Temp: 24.9, Umid: 50.5
[2025-10-01 19:40:46] Dispositivo: Pico W_11f0bb, Leitura: 29, Horario: 2025-10-01 19:40:47, Temp: 24.8, Umid: 52.1
[2025-10-01 19:41:04] Dispositivo: Pico W_11f60f, Leitura: 29, Horario: 2025-10-01 19:41:04, Temp: 24.9, Umid: 51.2
[2025-10-01 19:43:49] Dispositivo: Pico W_11f0bb, Leitura: 30, Horario: 2025-10-01 19:43:49, Temp: 24.7, Umid: 51.7
[2025-10-01 19:44:06] Dispositivo: Pico W_11f60f, Leitura: 30, Horario: 2025-10-01 19:44:07, Temp: 24.8, Umid: 51.7
[2025-10-01 19:46:51] Dispositivo: Pico W_11f0bb, Leitura: 31, Horario: 2025-10-01 19:46:51, Temp: 24.9, Umid: 51.1
[2025-10-01 19:47:09] Dispositivo: Pico W_11f60f, Leitura: 31, Horario: 2025-10-01 19:47:09, Temp: 24.9, Umid: 51.1
[2025-10-01 19:49:53] Dispositivo: Pico W_11f0bb, Leitura: 32, Horario: 2025-10-01 19:49:53, Temp: 24.7, Umid: 51.8
[2025-10-01 19:50:11] Dispositivo: Pico W_11f60f, Leitura: 32, Horario: 2025-10-01 19:50:11, Temp: 24.7, Umid: 51.7
[2025-10-01 19:52:55] Dispositivo: Pico W_11f0bb, Leitura: 33, Horario: 2025-10-01 19:52:56, Temp: 24.6, Umid: 52.7
[2025-10-01 19:53:13] Dispositivo: Pico W_11f60f, Leitura: 33, Horario: 2025-10-01 19:53:13, Temp: 24.6, Umid: 52.5
[2025-10-01 19:55:58] Dispositivo: Pico W_11f0bb, Leitura: 34, Horario: 2025-10-01 19:55:58, Temp: 24.4, Umid: 52.9
[2025-10-01 19:56:16] Dispositivo: Pico W_11f60f, Leitura: 34, Horario: 2025-10-01 19:56:16, Temp: 24.4, Umid: 53.0
[2025-10-01 19:59:00] Dispositivo: Pico W_11f0bb, Leitura: 35, Horario: 2025-10-01 19:59:00, Temp: 24.3, Umid: 53.7
[2025-10-01 19:59:18] Dispositivo: Pico W_11f60f, Leitura: 35, Horario: 2025-10-01 19:59:18, Temp: 24.4, Umid: 53.7
[2025-10-01 20:02:02] Dispositivo: Pico W_11f0bb, Leitura: 36, Horario: 2025-10-01 20:02:03, Temp: 24.1, Umid: 54.2
[2025-10-01 20:02:20] Dispositivo: Pico W_11f60f, Leitura: 36, Horario: 2025-10-01 20:02:20, Temp: 24.1, Umid: 54.2
[2025-10-01 20:05:23] Dispositivo: Pico W_11f60f, Leitura: 37, Horario: 2025-10-01 20:05:23, Temp: 24.5, Umid: 53.7
[2025-10-01 20:08:25] Dispositivo: Pico W_11f60f, Leitura: 38, Horario: 2025-10-01 20:08:25, Temp: 24.5, Umid: 53.6
