Contagem;Dispositivo;Data;Hora;Temperatura;Umidade
1;Pico W_F0BB;16/10/2025;07:04:42;29.5;47
2;Pico W_F0BB;16/10/2025;07:05:02;29.3;46.9
3;Pico W_F0BB;16/10/2025;07:05:22;29;47.1
4;Pico W_F0BB;16/10/2025;07:05:43;28.8;47.6
5;Pico W_F0BB;16/10/2025;07:06:03;28.7;47.9
6;Pico W_F0BB;16/10/2025;07:06:23;29;48.2
7;Pico W_F0BB;16/10/2025;07:06:44;29.3;47.7
8;Pico W_F0BB;16/10/2025;07:07:04;29.7;47.1
9;Pico W_F0BB;16/10/2025;07:07:24;30;46.5
10;Pico W_F0BB;16/10/2025;07:07:45;30.3;45.9
11;Pico W_F0BB;16/10/2025;07:08:05;30.5;45.6
12;Pico W_F0BB;16/10/2025;07:08:25;30.6;45.1
13;Pico W_F0BB;16/10/2025;07:08:46;30.7;44.7
14;Pico W_F0BB;16/10/2025;07:09:06;30.7;44.6
15;Pico W_F0BB;16/10/2025;07:09:26;30.6;44.8
16;Pico W_F0BB;16/10/2025;07:09:46;30.6;44.9
17;Pico W_F0BB;16/10/2025;07:10:07;30.2;45
18;Pico W_F0BB;16/10/2025;07:10:27;30.1;45.5
19;Pico W_F0BB;16/10/2025;07:10:47;30.1;45.7
20;Pico W_F0BB;16/10/2025;07:11:08;30.3;45.7
21;Pico W_F0BB;16/10/2025;07:11:28;30.5;45.2
22;Pico W_F0BB;16/10/2025;07:11:48;30.7;45
23;Pico W_F0BB;16/10/2025;07:12:09;30.8;45
24;Pico W_F0BB;16/10/2025;07:12:29;30.6;44.6
25;Pico W_F0BB;16/10/2025;07:12:49;30.2;44.9
26;Pico W_F0BB;16/10/2025;07:13:09;29.8;45.5
27;Pico W_F0BB;16/10/2025;07:13:30;29.2;46.4
28;Pico W_F0BB;16/10/2025;07:13:50;28.7;47.4
29;Pico W_F0BB;16/10/2025;07:14:10;28.4;48.1
30;Pico W_F0BB;16/10/2025;07:14:31;27.9;49.1
31;Pico W_F0BB;16/10/2025;07:14:51;28;49.9
32;Pico W_F0BB;16/10/2025;07:15:11;28.4;49.9
33;Pico W_F0BB;16/10/2025;07:15:32;28.6;49.1
34;Pico W_F0BB;16/10/2025;07:15:52;29;48.6
35;Pico W_F0BB;16/10/2025;07:16:12;29.2;48
36;Pico W_F0BB;16/10/2025;07:16:33;29.4;47.4
37;Pico W_F0BB;16/10/2025;07:16:53;29.4;47.3
38;Pico W_F0BB;16/10/2025;07:17:13;29.5;47
39;Pico W_F0BB;16/10/2025;07:17:33;29.4;46.9
40;Pico W_F0BB;16/10/2025;07:17:54;29.2;47.1
41;Pico W_F0BB;16/10/2025;07:18:14;28.8;47.8
42;Pico W_F0BB;16/10/2025;07:18:34;28.6;48.3
43;Pico W_F0BB;16/10/2025;07:18:55;28.6;48.6
44;Pico W_F0BB;16/10/2025;07:19:15;28.7;48.9
45;Pico W_F0BB;16/10/2025;07:19:35;29.1;48.7
46;Pico W_F0BB;16/10/2025;07:19:56;29.5;47.9
47;Pico W_F0BB;16/10/2025;07:20:16;29.5;47
48;Pico W_F0BB;16/10/2025;07:20:36;29.3;47.2
49;Pico W_F0BB;16/10/2025;07:20:57;29.3;47.4
50;Pico W_F0BB;16/10/2025;07:21:17;29;47.8
51;Pico W_F0BB;16/10/2025;07:21:37;28.8;48
52;Pico W_F0BB;16/10/2025;07:21:57;28.5;48.5
53;Pico W_F0BB;16/10/2025;07:22:18;28.1;49.1
54;Pico W_F0BB;16/10/2025;07:22:38;27.9;49.7
55;Pico W_F0BB;16/10/2025;07:22:58;27.9;50.1
56;Pico W_F0BB;16/10/2025;07:23:19;28;50.1
57;Pico W_F0BB;16/10/2025;07:23:39;28.1;50
58;Pico W_F0BB;16/10/2025;07:23:59;28.1;49.7
59;Pico W_F0BB;16/10/2025;07:24:20;28.3;49.7
60;Pico W_F0BB;16/10/2025;07:24:40;28.6;49.3
61;Pico W_F0BB;16/10/2025;07:25:00;28.7;48.9
62;Pico W_F0BB;16/10/2025;07:25:20;28.7;48.7
63;Pico W_F0BB;16/10/2025;07:25:41;28.6;48.9
64;Pico W_F0BB;16/10/2025;07:26:01;28.6;48.9
65;Pico W_F0BB;16/10/2025;07:26:21;28;49.3
66;Pico W_F0BB;16/10/2025;07:26:42;27.8;50.1
67;Pico W_F0BB;16/10/2025;07:27:02;27.9;50.1
68;Pico W_F0BB;16/10/2025;07:27:22;27.9;50.2
