[2025-10-02 09:43:45] Dispositivo: Pico W_11f60f, Leitura: 11, Horario: 2025-10-02 09:43:45, Temp: 23.9, Umid: 60.1
[2025-10-02 09:44:07] Dispositivo: Pico W_11f60f, Leitura: 12, Horario: 2025-10-02 09:44:07, Temp: 23.7, Umid: 60.6
[2025-10-02 09:44:29] Dispositivo: Pico W_11f60f, Leitura: 13, Horario: 2025-10-02 09:44:30, Temp: 23.6, Umid: 61.3
[2025-10-02 09:44:52] Dispositivo: Pico W_11f60f, Leitura: 14, Horario: 2025-10-02 09:44:52, Temp: 23.5, Umid: 61.9
[2025-10-02 09:45:14] Dispositivo: Pico W_11f60f, Leitura: 15, Horario: 2025-10-02 09:45:14, Temp: 23.5, Umid: 62.5
[2025-10-02 09:45:24] Dispositivo: Pico W_11f0bb, Leitura: 33, Horario: 2025-10-02 09:45:24, Temp: 25.7, Umid: 54.7
[2025-10-02 09:45:36] Dispositivo: Pico W_11f60f, Leitura: 16, Horario: 2025-10-02 09:45:37, Temp: 23.4, Umid: 62.9
[2025-10-02 09:45:58] Dispositivo: Pico W_11f60f, Leitura: 17, Horario: 2025-10-02 09:45:59, Temp: 23.4, Umid: 63.5
[2025-10-02 09:46:21] Dispositivo: Pico W_11f60f, Leitura: 18, Horario: 2025-10-02 09:46:21, Temp: 23.3, Umid: 63.4
[2025-10-02 09:46:43] Dispositivo: Pico W_11f60f, Leitura: 19, Horario: 2025-10-02 09:46:44, Temp: 23.3, Umid: 63.5
[2025-10-02 09:47:05] Dispositivo: Pico W_11f60f, Leitura: 20, Horario: 2025-10-02 09:47:06, Temp: 23.3, Umid: 63.6
[2025-10-02 09:47:28] Dispositivo: Pico W_11f60f, Leitura: 21, Horario: 2025-10-02 09:47:28, Temp: 23.3, Umid: 63.7
[2025-10-02 09:47:50] Dispositivo: Pico W_11f60f, Leitura: 22, Horario: 2025-10-02 09:47:50, Temp: 23.3, Umid: 63.4
[2025-10-02 09:48:12] Dispositivo: Pico W_11f60f, Leitura: 23, Horario: 2025-10-02 09:48:13, Temp: 23.2, Umid: 63.0
[2025-10-02 09:48:26] Dispositivo: Pico W_11f0bb, Leitura: 34, Horario: 2025-10-02 09:48:26, Temp: 25.6, Umid: 55.2
[2025-10-02 09:48:35] Dispositivo: Pico W_11f60f, Leitura: 24, Horario: 2025-10-02 09:48:35, Temp: 23.2, Umid: 63.0
[2025-10-02 09:48:57] Dispositivo: Pico W_11f60f, Leitura: 25, Horario: 2025-10-02 09:48:57, Temp: 23.1, Umid: 63.0
[2025-10-02 09:49:19] Dispositivo: Pico W_11f60f, Leitura: 26, Horario: 2025-10-02 09:49:20, Temp: 23.1, Umid: 63.3
[2025-10-02 09:49:42] Dispositivo: Pico W_11f60f, Leitura: 27, Horario: 2025-10-02 09:49:42, Temp: 23.0, Umid: 63.7
[2025-10-02 09:50:04] Dispositivo: Pico W_11f60f, Leitura: 28, Horario: 2025-10-02 09:50:04, Temp: 23.0, Umid: 63.9
[2025-10-02 09:50:26] Dispositivo: Pico W_11f60f, Leitura: 29, Horario: 2025-10-02 09:50:27, Temp: 23.0, Umid: 64.2
[2025-10-02 09:50:48] Dispositivo: Pico W_11f60f, Leitura: 30, Horario: 2025-10-02 09:50:49, Temp: 23.0, Umid: 64.4
[2025-10-02 09:51:11] Dispositivo: Pico W_11f60f, Leitura: 31, Horario: 2025-10-02 09:51:11, Temp: 23.0, Umid: 64.4
[2025-10-02 09:51:28] Dispositivo: Pico W_11f0bb, Leitura: 35, Horario: 2025-10-02 09:51:28, Temp: 25.6, Umid: 55.0
[2025-10-02 09:51:33] Dispositivo: Pico W_11f60f, Leitura: 32, Horario: 2025-10-02 09:51:34, Temp: 23.0, Umid: 64.2
[2025-10-02 09:51:55] Dispositivo: Pico W_11f60f, Leitura: 33, Horario: 2025-10-02 09:51:56, Temp: 23.0, Umid: 64.2
[2025-10-02 09:52:18] Dispositivo: Pico W_11f60f, Leitura: 34, Horario: 2025-10-02 09:52:18, Temp: 23.0, Umid: 64.2
[2025-10-02 09:52:40] Dispositivo: Pico W_11f60f, Leitura: 35, Horario: 2025-10-02 09:52:40, Temp: 22.9, Umid: 64.0
[2025-10-02 09:53:02] Dispositivo: Pico W_11f60f, Leitura: 36, Horario: 2025-10-02 09:53:03, Temp: 22.9, Umid: 64.1
[2025-10-02 09:53:25] Dispositivo: Pico W_11f60f, Leitura: 37, Horario: 2025-10-02 09:53:25, Temp: 22.9, Umid: 64.1
[2025-10-02 09:53:47] Dispositivo: Pico W_11f60f, Leitura: 38, Horario: 2025-10-02 09:53:47, Temp: 22.9, Umid: 64.3
[2025-10-02 09:54:09] Dispositivo: Pico W_11f60f, Leitura: 39, Horario: 2025-10-02 09:54:10, Temp: 22.9, Umid: 64.5
[2025-10-02 09:54:30] Dispositivo: Pico W_11f0bb, Leitura: 36, Horario: 2025-10-02 09:54:31, Temp: 25.7, Umid: 54.9
[2025-10-02 09:54:32] Dispositivo: Pico W_11f60f, Leitura: 40, Horario: 2025-10-02 09:54:32, Temp: 22.9, Umid: 64.3
[2025-10-02 09:54:54] Dispositivo: Pico W_11f60f, Leitura: 41, Horario: 2025-10-02 09:54:54, Temp: 22.9, Umid: 64.1
[2025-10-02 09:55:16] Dispositivo: Pico W_11f60f, Leitura: 42, Horario: 2025-10-02 09:55:17, Temp: 22.9, Umid: 64.3
[2025-10-02 09:55:39] Dispositivo: Pico W_11f60f, Leitura: 43, Horario: 2025-10-02 09:55:39, Temp: 22.9, Umid: 64.4
[2025-10-02 09:56:01] Dispositivo: Pico W_11f60f, Leitura: 44, Horario: 2025-10-02 09:56:01, Temp: 22.9, Umid: 64.6
[2025-10-02 09:56:23] Dispositivo: Pico W_11f60f, Leitura: 45, Horario: 2025-10-02 09:56:24, Temp: 22.9, Umid: 64.5
[2025-10-02 09:56:45] Dispositivo: Pico W_11f60f, Leitura: 46, Horario: 2025-10-02 09:56:46, Temp: 22.8, Umid: 64.3
[2025-10-02 09:57:08] Dispositivo: Pico W_11f60f, Leitura: 47, Horario: 2025-10-02 09:57:08, Temp: 22.9, Umid: 64.5
