Leitura,Horario,Temperatura(C),Umidade(%),Dispositivo
86,2025-10-26 12:51:31,42.8,20.9,Pico W_11f0bb
87,2025-10-26 12:51:53,42.9,20.7,Pico W_11f0bb
88,2025-10-26 12:52:16,42.8,21.1,Pico W_11f0bb
89,2025-10-26 12:52:38,42.4,21.2,Pico W_11f0bb
90,2025-10-26 12:53:00,41.9,22.2,Pico W_11f0bb
91,2025-10-26 12:53:23,41.6,21.7,Pico W_11f0bb
92,2025-10-26 12:53:45,41.7,21.7,Pico W_11f0bb
93,2025-10-26 12:54:07,41.8,21.6,Pico W_11f0bb
94,2025-10-26 12:54:30,42.1,21.4,Pico W_11f0bb
95,2025-10-26 12:54:52,42.5,21.6,Pico W_11f0bb
96,2025-10-26 12:55:14,42.6,22.7,Pico W_11f0bb
97,2025-10-26 12:55:37,42.1,21.9,Pico W_11f0bb
98,2025-10-26 12:55:59,41.6,22.0,Pico W_11f0bb
99,2025-10-26 12:56:21,41.4,21.3,Pico W_11f0bb
100,2025-10-26 12:56:44,41.3,21.7,Pico W_11f0bb
101,2025-10-26 12:57:06,41.7,21.5,Pico W_11f0bb
102,2025-10-26 12:57:28,41.5,21.7,Pico W_11f0bb
103,2025-10-26 12:57:51,41.8,21.8,Pico W_11f0bb
104,2025-10-26 12:58:13,41.7,21.3,Pico W_11f0bb
105,2025-10-26 12:58:36,41.7,21.2,Pico W_11f0bb
106,2025-10-26 12:58:58,41.8,21.1,Pico W_11f0bb
107,2025-10-26 12:59:20,41.9,21.6,Pico W_11f0bb
108,2025-10-26 12:59:43,41.6,21.0,Pico W_11f0bb
109,2025-10-26 13:00:05,41.5,21.6,Pico W_11f0bb
110,2025-10-26 13:00:27,41.7,21.1,Pico W_11f0bb
111,2025-10-26 13:00:50,41.3,21.1,Pico W_11f0bb
112,2025-10-26 13:01:12,41.1,21.4,Pico W_11f0bb
113,2025-10-26 13:01:34,41.3,21.9,Pico W_11f0bb
114,2025-10-26 13:01:57,41.5,21.9,Pico W_11f0bb
115,2025-10-26 13:02:19,41.7,21.3,Pico W_11f0bb
116,2025-10-26 13:02:41,41.5,21.3,Pico W_11f0bb
117,2025-10-26 13:03:04,41.4,21.3,Pico W_11f0bb
118,2025-10-26 13:03:26,41.7,21.1,Pico W_11f0bb
119,2025-10-26 13:03:48,41.8,21.2,Pico W_11f0bb
120,2025-10-26 13:04:11,41.5,21.3,Pico W_11f0bb
121,2025-10-26 13:04:33,41.8,21.1,Pico W_11f0bb
122,2025-10-26 13:04:56,42.3,21.1,Pico W_11f0bb
123,2025-10-26 13:05:18,42.0,20.6,Pico W_11f0bb
124,2025-10-26 13:05:40,41.4,21.2,Pico W_11f0bb
125,2025-10-26 13:06:03,41.3,20.8,Pico W_11f0bb
126,2025-10-26 13:06:25,41.0,21.0,Pico W_11f0bb
127,2025-10-26 13:06:47,40.7,21.1,Pico W_11f0bb
128,2025-10-26 13:07:10,40.4,21.4,Pico W_11f0bb
129,2025-10-26 13:07:32,40.5,21.7,Pico W_11f0bb
130,2025-10-26 13:07:54,40.7,22.0,Pico W_11f0bb
131,2025-10-26 13:08:17,41.1,22.1,Pico W_11f0bb
132,2025-10-26 13:08:39,41.2,21.6,Pico W_11f0bb
133,2025-10-26 13:09:01,41.2,21.3,Pico W_11f0bb
134,2025-10-26 13:09:24,41.7,21.5,Pico W_11f0bb
135,2025-10-26 13:09:46,41.9,21.3,Pico W_11f0bb
136,2025-10-26 13:10:08,42.0,21.3,Pico W_11f0bb
137,2025-10-26 13:10:31,42.2,21.1,Pico W_11f0bb
138,2025-10-26 13:10:53,40.9,21.0,Pico W_11f0bb
139,2025-10-26 13:11:15,40.5,21.7,Pico W_11f0bb
140,2025-10-26 13:11:38,40.4,21.7,Pico W_11f0bb
141,2025-10-26 13:12:00,40.3,21.7,Pico W_11f0bb
142,2025-10-26 13:12:23,40.6,21.0,Pico W_11f0bb
143,2025-10-26 13:12:45,40.3,21.6,Pico W_11f0bb
144,2025-10-26 13:13:07,39.7,21.9,Pico W_11f0bb
145,2025-10-26 13:13:30,39.2,22.1,Pico W_11f0bb
146,2025-10-26 13:13:52,38.9,22.0,Pico W_11f0bb
147,2025-10-26 13:14:14,38.8,22.4,Pico W_11f0bb
148,2025-10-26 13:14:37,38.7,22.2,Pico W_11f0bb
149,2025-10-26 13:14:59,39.2,22.8,Pico W_11f0bb
150,2025-10-26 13:15:21,39.3,21.5,Pico W_11f0bb
151,2025-10-26 13:15:44,39.9,21.6,Pico W_11f0bb
152,2025-10-26 13:16:06,39.9,21.5,Pico W_11f0bb
153,2025-10-26 13:16:28,40.2,21.4,Pico W_11f0bb
154,2025-10-26 13:16:51,40.3,21.6,Pico W_11f0bb
155,2025-10-26 13:17:13,40.4,21.7,Pico W_11f0bb
156,2025-10-26 13:17:35,40.6,21.2,Pico W_11f0bb
157,2025-10-26 13:17:58,40.6,21.9,Pico W_11f0bb
158,2025-10-26 13:18:20,40.7,21.5,Pico W_11f0bb
159,2025-10-26 13:18:43,40.5,21.4,Pico W_11f0bb
160,2025-10-26 13:19:05,40.2,21.5,Pico W_11f0bb
161,2025-10-26 13:19:27,39.7,21.4,Pico W_11f0bb
162,2025-10-26 13:19:50,39.3,21.7,Pico W_11f0bb
163,2025-10-26 13:20:12,39.2,21.9,Pico W_11f0bb
164,2025-10-26 13:20:34,39.3,22.3,Pico W_11f0bb
165,2025-10-26 13:20:57,39.8,22.5,Pico W_11f0bb
166,2025-10-26 13:21:19,39.9,22.5,Pico W_11f0bb
167,2025-10-26 13:21:41,40.4,22.2,Pico W_11f0bb
168,2025-10-26 13:22:04,40.8,21.9,Pico W_11f0bb
169,2025-10-26 13:22:26,41.0,21.0,Pico W_11f0bb
170,2025-10-26 13:22:48,41.1,20.8,Pico W_11f0bb
171,2025-10-26 13:23:11,41.5,20.2,Pico W_11f0bb
172,2025-10-26 13:23:33,41.7,20.4,Pico W_11f0bb
173,2025-10-26 13:23:55,41.8,20.5,Pico W_11f0bb
174,2025-10-26 13:24:18,41.5,21.1,Pico W_11f0bb
175,2025-10-26 13:24:40,41.0,21.6,Pico W_11f0bb
176,2025-10-26 13:25:02,41.1,21.0,Pico W_11f0bb
177,2025-10-26 13:25:25,41.5,20.8,Pico W_11f0bb
178,2025-10-26 13:25:47,41.8,20.3,Pico W_11f0bb
179,2025-10-26 13:26:10,42.2,20.2,Pico W_11f0bb
180,2025-10-26 13:26:32,42.5,19.9,Pico W_11f0bb
181,2025-10-26 13:26:54,43.1,19.7,Pico W_11f0bb
182,2025-10-26 13:27:17,43.5,19.8,Pico W_11f0bb
183,2025-10-26 13:27:39,43.6,19.9,Pico W_11f0bb
184,2025-10-26 13:28:01,43.4,19.5,Pico W_11f0bb
185,2025-10-26 13:28:24,43.4,20.0,Pico W_11f0bb
186,2025-10-26 13:28:46,43.1,19.8,Pico W_11f0bb
187,2025-10-26 13:29:08,42.7,19.9,Pico W_11f0bb
188,2025-10-26 13:29:31,42.4,20.1,Pico W_11f0bb
189,2025-10-26 13:29:53,42.0,20.5,Pico W_11f0bb
190,2025-10-26 13:30:15,41.8,20.3,Pico W_11f0bb
191,2025-10-26 13:30:38,41.8,20.7,Pico W_11f0bb
192,2025-10-26 13:31:00,42.0,21.1,Pico W_11f0bb
193,2025-10-26 13:31:22,42.3,20.5,Pico W_11f0bb
194,2025-10-26 13:31:45,42.3,20.4,Pico W_11f0bb
195,2025-10-26 13:32:07,42.3,20.6,Pico W_11f0bb
196,2025-10-26 13:32:30,42.1,20.9,Pico W_11f0bb
197,2025-10-26 13:32:52,42.1,21.0,Pico W_11f0bb
198,2025-10-26 13:33:14,41.5,20.5,Pico W_11f0bb
199,2025-10-26 13:33:37,40.6,20.8,Pico W_11f0bb
200,2025-10-26 13:33:59,40.0,21.5,Pico W_11f0bb
201,2025-10-26 13:34:21,39.7,21.9,Pico W_11f0bb
202,2025-10-26 13:34:44,39.3,21.8,Pico W_11f0bb
203,2025-10-26 13:35:06,39.1,22.2,Pico W_11f0bb
204,2025-10-26 13:35:28,39.2,22.2,Pico W_11f0bb
205,2025-10-26 13:35:51,39.3,22.3,Pico W_11f0bb
206,2025-10-26 13:36:13,39.8,22.2,Pico W_11f0bb
207,2025-10-26 13:36:35,40.3,21.8,Pico W_11f0bb
208,2025-10-26 13:36:58,40.8,21.8,Pico W_11f0bb
209,2025-10-26 13:37:20,41.4,22.1,Pico W_11f0bb
210,2025-10-26 13:37:42,41.9,21.2,Pico W_11f0bb
211,2025-10-26 13:38:05,42.3,20.9,Pico W_11f0bb
212,2025-10-26 13:38:27,42.7,21.3,Pico W_11f0bb
213,2025-10-26 13:38:49,43.3,20.4,Pico W_11f0bb
214,2025-10-26 13:39:12,43.5,19.9,Pico W_11f0bb
215,2025-10-26 13:39:34,43.5,19.5,Pico W_11f0bb
216,2025-10-26 13:39:57,43.4,20.1,Pico W_11f0bb
217,2025-10-26 13:40:19,43.1,20.1,Pico W_11f0bb
218,2025-10-26 13:40:41,42.5,20.0,Pico W_11f0bb
219,2025-10-26 13:41:04,42.2,20.3,Pico W_11f0bb
220,2025-10-26 13:41:26,41.1,20.1,Pico W_11f0bb
221,2025-10-26 13:41:48,40.4,20.8,Pico W_11f0bb
222,2025-10-26 13:42:11,39.8,21.3,Pico W_11f0bb
223,2025-10-26 13:42:33,39.2,21.6,Pico W_11f0bb
224,2025-10-26 13:42:55,39.1,22.1,Pico W_11f0bb
225,2025-10-26 13:43:18,38.9,22.0,Pico W_11f0bb
226,2025-10-26 13:43:40,38.8,22.2,Pico W_11f0bb
227,2025-10-26 13:44:02,38.6,22.3,Pico W_11f0bb
228,2025-10-26 13:44:25,38.9,22.9,Pico W_11f0bb
229,2025-10-26 13:44:47,38.9,22.5,Pico W_11f0bb
230,2025-10-26 13:45:09,39.0,21.7,Pico W_11f0bb
231,2025-10-26 13:45:32,39.0,22.1,Pico W_11f0bb
232,2025-10-26 13:45:54,39.0,22.1,Pico W_11f0bb
233,2025-10-26 13:46:16,38.9,21.7,Pico W_11f0bb
234,2025-10-26 13:46:39,38.9,21.8,Pico W_11f0bb
235,2025-10-26 13:47:01,39.0,21.9,Pico W_11f0bb
236,2025-10-26 13:47:24,39.3,21.4,Pico W_11f0bb
237,2025-10-26 13:47:46,39.8,21.1,Pico W_11f0bb
238,2025-10-26 13:48:08,40.3,20.9,Pico W_11f0bb
239,2025-10-26 13:48:31,40.7,20.6,Pico W_11f0bb
240,2025-10-26 13:48:53,41.1,20.5,Pico W_11f0bb
241,2025-10-26 13:49:15,41.3,20.2,Pico W_11f0bb
242,2025-10-26 13:49:38,41.2,20.4,Pico W_11f0bb
243,2025-10-26 13:50:00,41.1,20.5,Pico W_11f0bb
244,2025-10-26 13:50:22,41.2,20.4,Pico W_11f0bb
245,2025-10-26 13:50:45,41.2,20.4,Pico W_11f0bb
246,2025-10-26 13:51:07,40.9,20.6,Pico W_11f0bb
247,2025-10-26 13:51:29,41.1,20.9,Pico W_11f0bb
248,2025-10-26 13:51:52,41.5,20.6,Pico W_11f0bb
249,2025-10-26 13:52:14,41.7,20.8,Pico W_11f0bb
250,2025-10-26 13:52:36,41.8,20.8,Pico W_11f0bb
251,2025-10-26 13:52:59,41.6,20.9,Pico W_11f0bb
252,2025-10-26 13:53:21,41.3,21.6,Pico W_11f0bb
253,2025-10-26 13:53:44,41.2,21.1,Pico W_11f0bb
254,2025-10-26 13:54:06,41.0,21.7,Pico W_11f0bb
255,2025-10-26 13:54:28,40.8,21.2,Pico W_11f0bb
256,2025-10-26 13:54:51,40.4,21.6,Pico W_11f0bb
257,2025-10-26 13:55:13,40.3,21.8,Pico W_11f0bb
258,2025-10-26 13:55:35,40.4,21.5,Pico W_11f0bb
259,2025-10-26 13:55:58,40.5,21.1,Pico W_11f0bb
260,2025-10-26 13:56:20,40.8,20.9,Pico W_11f0bb
261,2025-10-26 13:56:42,40.8,21.1,Pico W_11f0bb
262,2025-10-26 13:57:05,40.9,21.2,Pico W_11f0bb
263,2025-10-26 13:57:27,40.9,21.6,Pico W_11f0bb
264,2025-10-26 13:57:49,40.5,21.5,Pico W_11f0bb
265,2025-10-26 13:58:12,40.0,21.7,Pico W_11f0bb
266,2025-10-26 13:58:34,39.6,22.3,Pico W_11f0bb
267,2025-10-26 13:58:56,39.8,22.7,Pico W_11f0bb
268,2025-10-26 13:59:19,39.7,22.0,Pico W_11f0bb
269,2025-10-26 13:59:41,39.3,22.0,Pico W_11f0bb
270,2025-10-26 14:00:04,39.2,22.4,Pico W_11f0bb
271,2025-10-26 14:00:26,39.0,22.6,Pico W_11f0bb
272,2025-10-26 14:00:48,38.5,22.8,Pico W_11f0bb
273,2025-10-26 14:01:11,38.3,22.9,Pico W_11f0bb
274,2025-10-26 14:01:33,38.2,23.1,Pico W_11f0bb
275,2025-10-26 14:01:55,38.4,23.2,Pico W_11f0bb
276,2025-10-26 14:02:18,38.8,23.5,Pico W_11f0bb
277,2025-10-26 14:02:40,39.2,23.1,Pico W_11f0bb
278,2025-10-26 14:03:02,38.3,22.9,Pico W_11f0bb
279,2025-10-26 14:03:25,38.4,23.6,Pico W_11f0bb
280,2025-10-26 14:03:47,38.8,23.1,Pico W_11f0bb
281,2025-10-26 14:04:09,39.0,23.2,Pico W_11f0bb
282,2025-10-26 14:04:32,38.7,23.0,Pico W_11f0bb
283,2025-10-26 14:04:54,38.6,23.4,Pico W_11f0bb
284,2025-10-26 14:05:16,38.7,24.3,Pico W_11f0bb
285,2025-10-26 14:05:39,39.1,23.8,Pico W_11f0bb
286,2025-10-26 14:06:01,39.5,22.8,Pico W_11f0bb
287,2025-10-26 14:06:24,39.6,22.9,Pico W_11f0bb
288,2025-10-26 14:06:46,39.7,22.3,Pico W_11f0bb
289,2025-10-26 14:07:08,40.0,22.0,Pico W_11f0bb
290,2025-10-26 14:07:31,40.3,21.4,Pico W_11f0bb
291,2025-10-26 14:07:53,40.3,21.1,Pico W_11f0bb
