Leitura,Horario,Temperatura(C),Umidade(%),Dispositivo
103,2025-10-24 07:07:32,16.7,68.9,Pico W_11f0bb
104,2025-10-24 07:07:54,16.6,69.4,Pico W_11f0bb
105,2025-10-24 07:08:16,16.6,69.1,Pico W_11f0bb
106,2025-10-24 07:08:39,16.6,69.3,Pico W_11f0bb
107,2025-10-24 07:09:01,16.6,69.4,Pico W_11f0bb
108,2025-10-24 07:09:23,16.6,69.5,Pico W_11f0bb
109,2025-10-24 07:09:46,16.6,69.3,Pico W_11f0bb
110,2025-10-24 07:10:08,16.6,69.3,Pico W_11f0bb
111,2025-10-24 07:10:30,16.7,69.3,Pico W_11f0bb
112,2025-10-24 07:10:53,16.7,68.9,Pico W_11f0bb
113,2025-10-24 07:11:15,16.8,68.4,Pico W_11f0bb
114,2025-10-24 07:11:37,16.8,68.3,Pico W_11f0bb
115,2025-10-24 07:12:00,16.8,68.5,Pico W_11f0bb
116,2025-10-24 07:12:22,16.8,68.8,Pico W_11f0bb
117,2025-10-24 07:12:44,16.7,68.9,Pico W_11f0bb
118,2025-10-24 07:13:07,16.7,68.7,Pico W_11f0bb
119,2025-10-24 07:13:29,16.7,68.5,Pico W_11f0bb
120,2025-10-24 07:13:51,16.7,68.3,Pico W_11f0bb
121,2025-10-24 07:14:14,16.8,68.5,Pico W_11f0bb
122,2025-10-24 07:14:36,16.8,68.4,Pico W_11f0bb
123,2025-10-24 07:14:58,16.8,68.4,Pico W_11f0bb
124,2025-10-24 07:15:21,16.8,68.4,Pico W_11f0bb
125,2025-10-24 07:15:43,16.8,68.3,Pico W_11f0bb
126,2025-10-24 07:16:05,16.8,68.3,Pico W_11f0bb
127,2025-10-24 07:16:28,16.8,67.9,Pico W_11f0bb
128,2025-10-24 07:16:50,16.8,67.5,Pico W_11f0bb
129,2025-10-24 07:17:12,16.7,67.2,Pico W_11f0bb
130,2025-10-24 07:17:35,16.7,67.5,Pico W_11f0bb
131,2025-10-24 07:17:57,16.7,67.7,Pico W_11f0bb
132,2025-10-24 07:18:19,16.7,67.4,Pico W_11f0bb
133,2025-10-24 07:18:42,16.6,67.4,Pico W_11f0bb
134,2025-10-24 07:19:04,16.6,67.4,Pico W_11f0bb
135,2025-10-24 07:19:26,16.6,67.4,Pico W_11f0bb
136,2025-10-24 07:19:49,16.6,67.8,Pico W_11f0bb
137,2025-10-24 07:20:11,16.7,68.6,Pico W_11f0bb
138,2025-10-24 07:20:33,16.7,68.6,Pico W_11f0bb
139,2025-10-24 07:20:56,16.7,68.5,Pico W_11f0bb
140,2025-10-24 07:21:18,16.7,68.7,Pico W_11f0bb
141,2025-10-24 07:21:40,16.8,68.7,Pico W_11f0bb
142,2025-10-24 07:22:03,16.8,68.6,Pico W_11f0bb
143,2025-10-24 07:22:25,16.8,68.4,Pico W_11f0bb
144,2025-10-24 07:22:47,16.8,68.3,Pico W_11f0bb
145,2025-10-24 07:23:10,16.8,68.3,Pico W_11f0bb
146,2025-10-24 07:23:32,16.8,68.1,Pico W_11f0bb
147,2025-10-24 07:23:54,16.8,68.2,Pico W_11f0bb
148,2025-10-24 07:24:17,16.8,68.4,Pico W_11f0bb
149,2025-10-24 07:24:39,16.8,68.5,Pico W_11f0bb
150,2025-10-24 07:25:01,16.8,68.4,Pico W_11f0bb
151,2025-10-24 07:25:24,16.8,68.3,Pico W_11f0bb
152,2025-10-24 07:25:46,16.8,68.2,Pico W_11f0bb
153,2025-10-24 07:26:08,16.9,68.2,Pico W_11f0bb
154,2025-10-24 07:26:31,16.9,68.0,Pico W_11f0bb
155,2025-10-24 07:26:53,16.9,68.0,Pico W_11f0bb
156,2025-10-24 07:27:15,17.0,67.9,Pico W_11f0bb
157,2025-10-24 07:27:38,17.0,67.8,Pico W_11f0bb
158,2025-10-24 07:28:00,17.1,67.7,Pico W_11f0bb
159,2025-10-24 07:28:22,17.1,67.5,Pico W_11f0bb
160,2025-10-24 07:28:45,17.1,67.4,Pico W_11f0bb
161,2025-10-24 07:29:07,17.1,67.3,Pico W_11f0bb
162,2025-10-24 07:29:29,17.1,67.5,Pico W_11f0bb
163,2025-10-24 07:29:52,17.0,67.8,Pico W_11f0bb
164,2025-10-24 07:30:14,17.0,68.0,Pico W_11f0bb
165,2025-10-24 07:30:36,17.0,67.6,Pico W_11f0bb
166,2025-10-24 07:30:59,17.0,67.3,Pico W_11f0bb
167,2025-10-24 07:31:21,17.0,67.4,Pico W_11f0bb
168,2025-10-24 07:31:43,17.0,67.2,Pico W_11f0bb
169,2025-10-24 07:32:06,17.1,67.4,Pico W_11f0bb
170,2025-10-24 07:32:28,17.1,67.2,Pico W_11f0bb
171,2025-10-24 07:32:50,17.2,66.9,Pico W_11f0bb
172,2025-10-24 07:33:13,17.2,66.7,Pico W_11f0bb
173,2025-10-24 07:33:35,17.2,66.6,Pico W_11f0bb
174,2025-10-24 07:33:57,17.2,66.9,Pico W_11f0bb
175,2025-10-24 07:34:20,17.2,67.4,Pico W_11f0bb
176,2025-10-24 07:34:42,17.2,67.0,Pico W_11f0bb
177,2025-10-24 07:35:04,17.2,66.8,Pico W_11f0bb
178,2025-10-24 07:35:27,17.3,66.8,Pico W_11f0bb
179,2025-10-24 07:35:49,17.3,66.5,Pico W_11f0bb
180,2025-10-24 07:36:11,17.3,66.4,Pico W_11f0bb
181,2025-10-24 07:36:34,17.3,66.7,Pico W_11f0bb
182,2025-10-24 07:36:56,17.4,66.6,Pico W_11f0bb
183,2025-10-24 07:37:18,17.4,66.3,Pico W_11f0bb
184,2025-10-24 07:37:41,17.4,66.0,Pico W_11f0bb
185,2025-10-24 07:38:03,17.4,66.1,Pico W_11f0bb
186,2025-10-24 07:38:25,17.4,66.2,Pico W_11f0bb
187,2025-10-24 07:38:48,17.4,66.1,Pico W_11f0bb
188,2025-10-24 07:39:10,17.4,66.2,Pico W_11f0bb
189,2025-10-24 07:39:32,17.4,66.3,Pico W_11f0bb
190,2025-10-24 07:39:55,17.5,66.4,Pico W_11f0bb
191,2025-10-24 07:40:17,17.5,66.1,Pico W_11f0bb
192,2025-10-24 07:40:39,17.6,65.9,Pico W_11f0bb
193,2025-10-24 07:41:02,17.6,65.6,Pico W_11f0bb
194,2025-10-24 07:41:24,17.7,65.3,Pico W_11f0bb
195,2025-10-24 07:41:46,17.7,65.2,Pico W_11f0bb
196,2025-10-24 07:42:09,17.8,65.5,Pico W_11f0bb
197,2025-10-24 07:42:31,17.8,65.2,Pico W_11f0bb
198,2025-10-24 07:42:53,17.8,65.5,Pico W_11f0bb
199,2025-10-24 07:43:16,17.8,64.9,Pico W_11f0bb
200,2025-10-24 07:43:38,17.9,65.4,Pico W_11f0bb
201,2025-10-24 07:44:00,17.9,64.8,Pico W_11f0bb
202,2025-10-24 07:44:23,18.0,64.5,Pico W_11f0bb
203,2025-10-24 07:44:45,18.0,64.5,Pico W_11f0bb
204,2025-10-24 07:45:07,18.1,64.0,Pico W_11f0bb
205,2025-10-24 07:45:30,18.4,63.5,Pico W_11f0bb
206,2025-10-24 07:45:52,18.9,62.5,Pico W_11f0bb
207,2025-10-24 07:46:15,19.5,61.1,Pico W_11f0bb
208,2025-10-24 07:46:37,20.1,59.8,Pico W_11f0bb
209,2025-10-24 07:46:59,20.8,57.7,Pico W_11f0bb
210,2025-10-24 07:47:22,21.4,56.1,Pico W_11f0bb
211,2025-10-24 07:47:44,22.0,54.5,Pico W_11f0bb
212,2025-10-24 07:48:06,22.5,52.9,Pico W_11f0bb
213,2025-10-24 07:48:29,23.0,51.7,Pico W_11f0bb
214,2025-10-24 07:48:51,23.4,50.6,Pico W_11f0bb
215,2025-10-24 07:49:13,23.5,49.5,Pico W_11f0bb
216,2025-10-24 07:49:36,23.6,49.1,Pico W_11f0bb
217,2025-10-24 07:49:58,23.4,48.6,Pico W_11f0bb
218,2025-10-24 07:50:20,23.2,49.1,Pico W_11f0bb
219,2025-10-24 07:50:43,23.1,50.0,Pico W_11f0bb
220,2025-10-24 07:51:05,23.1,49.6,Pico W_11f0bb
221,2025-10-24 07:51:27,23.3,50.0,Pico W_11f0bb
222,2025-10-24 07:51:50,23.4,49.7,Pico W_11f0bb
223,2025-10-24 07:52:12,23.5,49.2,Pico W_11f0bb
224,2025-10-24 07:52:34,23.7,48.7,Pico W_11f0bb
225,2025-10-24 07:52:57,23.9,48.7,Pico W_11f0bb
226,2025-10-24 07:53:19,24.0,48.8,Pico W_11f0bb
227,2025-10-24 07:53:41,24.0,47.9,Pico W_11f0bb
228,2025-10-24 07:54:04,24.1,47.3,Pico W_11f0bb
229,2025-10-24 07:54:26,24.2,47.1,Pico W_11f0bb
230,2025-10-24 07:54:48,24.3,47.3,Pico W_11f0bb
231,2025-10-24 07:55:11,24.4,47.1,Pico W_11f0bb
232,2025-10-24 07:55:33,24.4,47.1,Pico W_11f0bb
233,2025-10-24 07:55:55,24.5,47.5,Pico W_11f0bb
234,2025-10-24 07:56:18,24.8,47.1,Pico W_11f0bb
235,2025-10-24 07:56:40,25.1,46.4,Pico W_11f0bb
236,2025-10-24 07:57:02,25.5,45.7,Pico W_11f0bb
237,2025-10-24 07:57:25,25.9,45.0,Pico W_11f0bb
238,2025-10-24 07:57:47,26.2,44.5,Pico W_11f0bb
239,2025-10-24 07:58:09,26.5,44.5,Pico W_11f0bb
240,2025-10-24 07:58:32,26.7,43.9,Pico W_11f0bb
241,2025-10-24 07:58:54,26.9,43.4,Pico W_11f0bb
242,2025-10-24 07:59:16,27.0,42.7,Pico W_11f0bb
243,2025-10-24 07:59:39,27.3,42.5,Pico W_11f0bb
244,2025-10-24 08:00:01,27.5,41.7,Pico W_11f0bb
245,2025-10-24 08:00:23,27.5,41.1,Pico W_11f0bb
246,2025-10-24 08:00:46,27.5,41.1,Pico W_11f0bb
247,2025-10-24 08:01:08,27.6,41.0,Pico W_11f0bb
248,2025-10-24 08:01:30,27.7,40.7,Pico W_11f0bb
249,2025-10-24 08:01:53,27.7,40.7,Pico W_11f0bb
250,2025-10-24 08:02:15,27.8,41.1,Pico W_11f0bb
251,2025-10-24 08:02:37,28.1,41.0,Pico W_11f0bb
252,2025-10-24 08:03:00,28.1,40.9,Pico W_11f0bb
253,2025-10-24 08:03:22,27.7,42.0,Pico W_11f0bb
254,2025-10-24 08:03:44,27.4,42.2,Pico W_11f0bb
255,2025-10-24 08:04:07,27.2,43.1,Pico W_11f0bb
256,2025-10-24 08:04:29,27.3,41.8,Pico W_11f0bb
257,2025-10-24 08:04:51,27.2,41.5,Pico W_11f0bb
258,2025-10-24 08:05:14,26.9,41.5,Pico W_11f0bb
259,2025-10-24 08:05:36,26.8,41.6,Pico W_11f0bb
260,2025-10-24 08:05:58,26.5,41.9,Pico W_11f0bb
261,2025-10-24 08:06:21,26.3,43.1,Pico W_11f0bb
262,2025-10-24 08:06:43,26.5,42.7,Pico W_11f0bb
263,2025-10-24 08:07:05,26.8,43.0,Pico W_11f0bb
264,2025-10-24 08:07:28,27.0,42.6,Pico W_11f0bb
265,2025-10-24 08:07:50,27.1,41.4,Pico W_11f0bb
266,2025-10-24 08:08:12,27.2,41.4,Pico W_11f0bb
267,2025-10-24 08:08:35,27.2,41.5,Pico W_11f0bb
268,2025-10-24 08:08:57,26.9,40.8,Pico W_11f0bb
269,2025-10-24 08:09:19,26.5,40.4,Pico W_11f0bb
270,2025-10-24 08:09:42,26.1,41.6,Pico W_11f0bb
271,2025-10-24 08:10:04,26.0,42.9,Pico W_11f0bb
272,2025-10-24 08:10:26,26.0,42.7,Pico W_11f0bb
273,2025-10-24 08:10:49,26.0,43.4,Pico W_11f0bb
274,2025-10-24 08:11:11,26.1,42.8,Pico W_11f0bb
275,2025-10-24 08:11:33,26.3,42.6,Pico W_11f0bb
276,2025-10-24 08:11:56,26.7,42.2,Pico W_11f0bb
277,2025-10-24 08:12:18,26.8,42.4,Pico W_11f0bb
278,2025-10-24 08:12:40,27.1,40.6,Pico W_11f0bb
279,2025-10-24 08:13:03,27.4,39.9,Pico W_11f0bb
280,2025-10-24 08:13:25,27.7,39.4,Pico W_11f0bb
281,2025-10-24 08:13:47,28.0,39.2,Pico W_11f0bb
282,2025-10-24 08:14:10,28.4,38.4,Pico W_11f0bb
283,2025-10-24 08:14:32,28.7,37.8,Pico W_11f0bb
284,2025-10-24 08:14:54,29.0,37.6,Pico W_11f0bb
285,2025-10-24 08:15:17,29.3,37.4,Pico W_11f0bb
286,2025-10-24 08:15:39,29.6,36.9,Pico W_11f0bb
287,2025-10-24 08:16:01,29.8,35.9,Pico W_11f0bb
288,2025-10-24 08:16:24,29.9,35.5,Pico W_11f0bb
289,2025-10-24 08:16:46,29.9,35.4,Pico W_11f0bb
290,2025-10-24 08:17:08,30.1,35.6,Pico W_11f0bb
291,2025-10-24 08:17:31,30.1,36.0,Pico W_11f0bb
292,2025-10-24 08:17:53,29.6,36.3,Pico W_11f0bb
293,2025-10-24 08:18:15,29.3,36.9,Pico W_11f0bb
294,2025-10-24 08:18:38,29.2,36.7,Pico W_11f0bb
295,2025-10-24 08:19:00,29.3,36.5,Pico W_11f0bb
296,2025-10-24 08:19:22,29.4,36.3,Pico W_11f0bb
297,2025-10-24 08:19:45,29.5,36.1,Pico W_11f0bb
298,2025-10-24 08:20:07,29.6,36.3,Pico W_11f0bb
299,2025-10-24 08:20:29,29.8,35.9,Pico W_11f0bb
300,2025-10-24 08:20:52,29.9,35.6,Pico W_11f0bb
301,2025-10-24 08:21:14,29.9,35.6,Pico W_11f0bb
302,2025-10-24 08:21:37,30.1,36.0,Pico W_11f0bb
303,2025-10-24 08:21:59,30.3,35.8,Pico W_11f0bb
304,2025-10-24 08:22:21,30.4,35.0,Pico W_11f0bb
305,2025-10-24 08:22:44,30.4,34.9,Pico W_11f0bb
306,2025-10-24 08:23:06,30.5,34.8,Pico W_11f0bb
307,2025-10-24 08:23:28,30.4,34.5,Pico W_11f0bb
308,2025-10-24 08:23:51,30.5,34.5,Pico W_11f0bb
309,2025-10-24 08:24:13,30.5,34.4,Pico W_11f0bb
310,2025-10-24 08:24:35,30.5,34.4,Pico W_11f0bb
311,2025-10-24 08:24:58,30.6,34.6,Pico W_11f0bb
312,2025-10-24 08:25:20,30.7,34.3,Pico W_11f0bb
313,2025-10-24 08:25:42,30.8,34.4,Pico W_11f0bb
314,2025-10-24 08:26:05,30.9,35.1,Pico W_11f0bb
315,2025-10-24 08:26:27,31.0,34.6,Pico W_11f0bb
316,2025-10-24 08:26:49,31.1,34.1,Pico W_11f0bb
317,2025-10-24 08:27:12,31.1,33.8,Pico W_11f0bb
318,2025-10-24 08:27:34,31.1,33.0,Pico W_11f0bb
319,2025-10-24 08:27:56,31.1,33.0,Pico W_11f0bb
320,2025-10-24 08:28:19,31.0,32.9,Pico W_11f0bb
321,2025-10-24 08:28:41,31.0,32.6,Pico W_11f0bb
322,2025-10-24 08:29:03,30.8,33.1,Pico W_11f0bb
323,2025-10-24 08:29:26,30.3,34.0,Pico W_11f0bb
324,2025-10-24 08:29:48,30.2,33.2,Pico W_11f0bb
325,2025-10-24 08:30:10,30.3,33.2,Pico W_11f0bb
326,2025-10-24 08:30:33,30.2,33.4,Pico W_11f0bb
327,2025-10-24 08:30:55,30.1,33.6,Pico W_11f0bb
328,2025-10-24 08:31:17,30.3,33.1,Pico W_11f0bb
329,2025-10-24 08:31:40,30.6,33.2,Pico W_11f0bb
330,2025-10-24 08:32:02,30.9,32.8,Pico W_11f0bb
331,2025-10-24 08:32:24,30.8,34.0,Pico W_11f0bb
332,2025-10-24 08:32:47,30.6,33.4,Pico W_11f0bb
333,2025-10-24 08:33:09,30.4,32.7,Pico W_11f0bb
334,2025-10-24 08:33:31,30.3,33.3,Pico W_11f0bb
335,2025-10-24 08:33:54,30.1,34.1,Pico W_11f0bb
336,2025-10-24 08:34:16,30.1,33.5,Pico W_11f0bb
337,2025-10-24 08:34:38,30.3,33.1,Pico W_11f0bb
338,2025-10-24 08:35:01,30.5,32.7,Pico W_11f0bb
339,2025-10-24 08:35:23,30.7,32.5,Pico W_11f0bb
340,2025-10-24 08:35:45,30.0,32.3,Pico W_11f0bb
341,2025-10-24 08:36:08,28.9,33.0,Pico W_11f0bb
342,2025-10-24 08:36:30,28.2,35.3,Pico W_11f0bb
343,2025-10-24 08:36:52,28.1,36.8,Pico W_11f0bb
344,2025-10-24 08:37:15,28.2,36.7,Pico W_11f0bb
345,2025-10-24 08:37:37,28.2,37.0,Pico W_11f0bb
346,2025-10-24 08:37:59,28.0,35.5,Pico W_11f0bb
347,2025-10-24 08:38:22,28.0,35.2,Pico W_11f0bb
348,2025-10-24 08:38:44,28.0,36.7,Pico W_11f0bb
349,2025-10-24 08:39:06,28.0,37.3,Pico W_11f0bb
350,2025-10-24 08:39:29,28.1,36.5,Pico W_11f0bb
351,2025-10-24 08:39:51,28.3,35.9,Pico W_11f0bb
352,2025-10-24 08:40:13,28.6,35.5,Pico W_11f0bb
353,2025-10-24 08:40:36,28.9,34.9,Pico W_11f0bb
354,2025-10-24 08:40:58,28.9,34.0,Pico W_11f0bb
355,2025-10-24 08:41:20,29.1,34.5,Pico W_11f0bb
356,2025-10-24 08:41:43,29.5,36.1,Pico W_11f0bb
357,2025-10-24 08:42:05,29.6,34.8,Pico W_11f0bb
358,2025-10-24 08:42:27,29.8,33.5,Pico W_11f0bb
359,2025-10-24 08:42:50,30.2,32.9,Pico W_11f0bb
360,2025-10-24 08:43:12,30.3,33.2,Pico W_11f0bb
361,2025-10-24 08:43:34,30.0,32.8,Pico W_11f0bb
362,2025-10-24 08:43:57,29.3,33.0,Pico W_11f0bb
363,2025-10-24 08:44:19,29.0,34.2,Pico W_11f0bb
364,2025-10-24 08:44:41,28.9,34.4,Pico W_11f0bb
365,2025-10-24 08:45:04,28.8,34.0,Pico W_11f0bb
366,2025-10-24 08:45:26,28.9,33.8,Pico W_11f0bb
367,2025-10-24 08:45:48,29.1,36.2,Pico W_11f0bb
368,2025-10-24 08:46:11,29.5,35.2,Pico W_11f0bb
369,2025-10-24 08:46:33,29.8,33.8,Pico W_11f0bb
370,2025-10-24 08:46:55,30.0,33.9,Pico W_11f0bb
371,2025-10-24 08:47:18,30.3,33.5,Pico W_11f0bb
372,2025-10-24 08:47:40,30.4,33.6,Pico W_11f0bb
373,2025-10-24 08:48:02,30.5,33.7,Pico W_11f0bb
374,2025-10-24 08:48:25,30.7,33.1,Pico W_11f0bb
375,2025-10-24 08:48:47,30.9,32.6,Pico W_11f0bb
376,2025-10-24 08:49:09,31.0,32.4,Pico W_11f0bb
377,2025-10-24 08:49:32,31.0,31.9,Pico W_11f0bb
378,2025-10-24 08:49:54,30.4,32.2,Pico W_11f0bb
379,2025-10-24 08:50:16,30.2,32.8,Pico W_11f0bb
380,2025-10-24 08:50:39,29.7,33.0,Pico W_11f0bb
381,2025-10-24 08:51:01,29.7,33.7,Pico W_11f0bb
382,2025-10-24 08:51:23,29.5,33.7,Pico W_11f0bb
383,2025-10-24 08:51:46,28.7,33.9,Pico W_11f0bb
384,2025-10-24 08:52:08,28.8,34.4,Pico W_11f0bb
385,2025-10-24 08:52:30,28.5,34.2,Pico W_11f0bb
386,2025-10-24 08:52:53,28.1,34.9,Pico W_11f0bb
387,2025-10-24 08:53:15,28.3,35.6,Pico W_11f0bb
388,2025-10-24 08:53:38,28.3,34.5,Pico W_11f0bb
389,2025-10-24 08:54:00,28.1,34.4,Pico W_11f0bb
390,2025-10-24 08:54:22,27.9,35.4,Pico W_11f0bb
391,2025-10-24 08:54:45,28.1,36.5,Pico W_11f0bb
392,2025-10-24 08:55:07,28.6,35.0,Pico W_11f0bb
393,2025-10-24 08:55:29,29.1,36.0,Pico W_11f0bb
394,2025-10-24 08:55:52,29.5,35.3,Pico W_11f0bb
395,2025-10-24 08:56:14,30.0,34.5,Pico W_11f0bb
396,2025-10-24 08:56:36,30.0,33.6,Pico W_11f0bb
397,2025-10-24 08:56:59,30.0,34.1,Pico W_11f0bb
398,2025-10-24 08:57:21,30.2,34.8,Pico W_11f0bb
399,2025-10-24 08:57:43,30.2,34.1,Pico W_11f0bb
400,2025-10-24 08:58:06,29.7,33.2,Pico W_11f0bb
401,2025-10-24 08:58:28,29.6,34.0,Pico W_11f0bb
402,2025-10-24 08:58:50,29.0,34.8,Pico W_11f0bb
403,2025-10-24 08:59:13,29.3,35.0,Pico W_11f0bb
404,2025-10-24 08:59:35,29.7,33.8,Pico W_11f0bb
405,2025-10-24 08:59:57,29.9,34.1,Pico W_11f0bb
406,2025-10-24 09:00:20,29.7,34.2,Pico W_11f0bb
407,2025-10-24 09:00:42,29.5,34.7,Pico W_11f0bb
408,2025-10-24 09:01:04,29.3,33.8,Pico W_11f0bb
409,2025-10-24 09:01:27,29.2,34.8,Pico W_11f0bb
