Leitura,Horario,Temperatura(C),Umidade(%),Dispositivo
1,2025-10-24 06:29:33,17.8,65.7,Pico W_11f0bb
2,2025-10-24 06:29:56,17.9,71.1,Pico W_11f0bb
3,2025-10-24 06:30:18,17.9,63.8,Pico W_11f0bb
4,2025-10-24 06:30:40,17.8,53.8,Pico W_11f0bb
5,2025-10-24 06:31:03,17.7,51.7,Pico W_11f0bb
6,2025-10-24 06:31:25,17.7,51.7,Pico W_11f0bb
7,2025-10-24 06:31:47,17.8,50.2,Pico W_11f0bb
8,2025-10-24 06:32:10,17.9,51.6,Pico W_11f0bb
9,2025-10-24 06:32:32,18.0,56.5,Pico W_11f0bb
10,2025-10-24 06:32:54,18.2,60.3,Pico W_11f0bb
11,2025-10-24 06:33:17,18.4,62.1,Pico W_11f0bb
12,2025-10-24 06:33:39,18.7,63.4,Pico W_11f0bb
13,2025-10-24 06:34:01,19.1,63.7,Pico W_11f0bb
14,2025-10-24 06:34:24,19.4,63.8,Pico W_11f0bb
15,2025-10-24 06:34:46,19.8,63.4,Pico W_11f0bb
16,2025-10-24 06:35:08,20.2,62.6,Pico W_11f0bb
17,2025-10-24 06:35:31,20.5,60.6,Pico W_11f0bb
18,2025-10-24 06:35:53,20.2,57.7,Pico W_11f0bb
19,2025-10-24 06:36:15,19.8,58.0,Pico W_11f0bb
20,2025-10-24 06:36:38,19.2,58.6,Pico W_11f0bb
21,2025-10-24 06:37:00,18.5,59.8,Pico W_11f0bb
22,2025-10-24 06:37:22,18.0,61.5,Pico W_11f0bb
23,2025-10-24 06:37:45,17.5,62.9,Pico W_11f0bb
24,2025-10-24 06:38:07,17.1,64.0,Pico W_11f0bb
25,2025-10-24 06:38:29,17.0,67.8,Pico W_11f0bb
26,2025-10-24 06:38:52,16.9,66.3,Pico W_11f0bb
27,2025-10-24 06:39:14,16.9,66.3,Pico W_11f0bb
28,2025-10-24 06:39:36,16.9,66.3,Pico W_11f0bb
29,2025-10-24 06:39:59,16.8,66.3,Pico W_11f0bb
30,2025-10-24 06:40:21,16.6,66.6,Pico W_11f0bb
31,2025-10-24 06:40:43,16.6,66.8,Pico W_11f0bb
32,2025-10-24 06:41:06,16.5,67.3,Pico W_11f0bb
33,2025-10-24 06:41:28,16.4,67.7,Pico W_11f0bb
34,2025-10-24 06:41:50,16.3,68.2,Pico W_11f0bb
35,2025-10-24 06:42:13,16.2,68.4,Pico W_11f0bb
36,2025-10-24 06:42:35,16.2,68.6,Pico W_11f0bb
37,2025-10-24 06:42:57,16.2,68.6,Pico W_11f0bb
38,2025-10-24 06:43:20,16.1,68.7,Pico W_11f0bb
39,2025-10-24 06:43:42,16.1,69.0,Pico W_11f0bb
40,2025-10-24 06:44:04,16.0,69.4,Pico W_11f0bb
41,2025-10-24 06:44:27,16.0,69.7,Pico W_11f0bb
42,2025-10-24 06:44:49,16.0,69.7,Pico W_11f0bb
43,2025-10-24 06:45:11,16.0,69.7,Pico W_11f0bb
44,2025-10-24 06:45:34,16.0,69.7,Pico W_11f0bb
45,2025-10-24 06:45:56,16.0,69.7,Pico W_11f0bb
46,2025-10-24 06:46:18,16.1,69.5,Pico W_11f0bb
47,2025-10-24 06:46:41,16.1,69.3,Pico W_11f0bb
48,2025-10-24 06:47:03,16.1,69.2,Pico W_11f0bb
49,2025-10-24 06:47:25,16.1,69.1,Pico W_11f0bb
50,2025-10-24 06:47:48,16.1,69.0,Pico W_11f0bb
51,2025-10-24 06:48:10,16.2,68.9,Pico W_11f0bb
52,2025-10-24 06:48:32,16.2,68.9,Pico W_11f0bb
53,2025-10-24 06:48:55,16.2,69.0,Pico W_11f0bb
54,2025-10-24 06:49:17,16.2,68.9,Pico W_11f0bb
55,2025-10-24 06:49:39,16.2,69.2,Pico W_11f0bb
56,2025-10-24 06:50:02,16.2,69.3,Pico W_11f0bb
57,2025-10-24 06:50:24,16.1,69.4,Pico W_11f0bb
58,2025-10-24 06:50:46,16.1,69.5,Pico W_11f0bb
59,2025-10-24 06:51:09,16.1,69.4,Pico W_11f0bb
60,2025-10-24 06:51:31,16.1,69.4,Pico W_11f0bb
61,2025-10-24 06:51:53,16.0,69.7,Pico W_11f0bb
62,2025-10-24 06:52:16,16.0,70.3,Pico W_11f0bb
63,2025-10-24 06:52:38,15.9,70.4,Pico W_11f0bb
64,2025-10-24 06:53:00,15.9,70.5,Pico W_11f0bb
65,2025-10-24 06:53:23,15.9,70.5,Pico W_11f0bb
66,2025-10-24 06:53:45,15.9,70.4,Pico W_11f0bb
67,2025-10-24 06:54:07,15.9,70.5,Pico W_11f0bb
68,2025-10-24 06:54:30,15.9,70.5,Pico W_11f0bb
69,2025-10-24 06:54:52,15.9,70.6,Pico W_11f0bb
70,2025-10-24 06:55:14,15.9,70.5,Pico W_11f0bb
71,2025-10-24 06:55:37,15.9,70.7,Pico W_11f0bb
72,2025-10-24 06:55:59,15.9,70.9,Pico W_11f0bb
73,2025-10-24 06:56:21,15.9,70.8,Pico W_11f0bb
74,2025-10-24 06:56:44,15.9,70.6,Pico W_11f0bb
75,2025-10-24 06:57:06,15.9,70.7,Pico W_11f0bb
76,2025-10-24 06:57:28,15.9,70.5,Pico W_11f0bb
77,2025-10-24 06:57:51,16.0,70.3,Pico W_11f0bb
78,2025-10-24 06:58:13,16.1,70.0,Pico W_11f0bb
79,2025-10-24 06:58:35,16.2,69.5,Pico W_11f0bb
80,2025-10-24 06:58:58,16.2,69.5,Pico W_11f0bb
81,2025-10-24 06:59:20,16.2,70.1,Pico W_11f0bb
82,2025-10-24 06:59:42,16.2,70.0,Pico W_11f0bb
83,2025-10-24 07:00:05,16.1,70.1,Pico W_11f0bb
84,2025-10-24 07:00:27,16.1,70.1,Pico W_11f0bb
85,2025-10-24 07:00:49,16.1,70.2,Pico W_11f0bb
86,2025-10-24 07:01:12,16.1,70.1,Pico W_11f0bb
87,2025-10-24 07:01:34,16.1,70.0,Pico W_11f0bb
88,2025-10-24 07:01:56,16.2,70.0,Pico W_11f0bb
89,2025-10-24 07:02:19,16.2,69.9,Pico W_11f0bb
90,2025-10-24 07:02:41,16.3,69.8,Pico W_11f0bb
91,2025-10-24 07:03:03,16.4,69.2,Pico W_11f0bb
92,2025-10-24 07:03:26,16.6,68.8,Pico W_11f0bb
93,2025-10-24 07:03:48,16.7,68.4,Pico W_11f0bb
94,2025-10-24 07:04:10,16.7,68.6,Pico W_11f0bb
95,2025-10-24 07:04:33,16.7,68.5,Pico W_11f0bb
96,2025-10-24 07:04:55,16.7,68.7,Pico W_11f0bb
97,2025-10-24 07:05:17,16.7,68.8,Pico W_11f0bb
98,2025-10-24 07:05:40,16.7,68.7,Pico W_11f0bb
99,2025-10-24 07:06:02,16.7,68.6,Pico W_11f0bb
100,2025-10-24 07:06:25,16.7,68.6,Pico W_11f0bb
101,2025-10-24 07:06:47,16.7,68.6,Pico W_11f0bb
102,2025-10-24 07:07:09,16.7,68.6,Pico W_11f0bb
