Data;Hora (UTC);Temp. Ins. (C);Vizinhos Usados Temp (0-3);Umi. Ins. (%);Vizinhos Usados Umi (0-3);Salto Temp. Ins. (C);Salto Umi. Ins. (%);Cabreuva Temp. Ins. (C);Cabreuva Umi. Ins. (%)
18/10/2025;1300;22,76;3;82,36;3;22,2;79,1;22,3;85,3
22/10/2025;700;13,3;3;72,08;3;11,7;74,8;13,8;70,4
22/10/2025;1100;16,96;2;58,12;2;16,9;54,8;;
19/10/2025;2300;14,36;3;71,52;3;13,3;69,9;13,6;78,6
16/10/2025;700;17,48;3;85,35;3;16,5;86,3;17,3;86,6
19/10/2025;2000;17,26;3;64,83;3;16,5;63,7;15,2;79,9
20/10/2025;2300;15,68;2;57,78;2;14,7;57,6;;
16/10/2025;2100;31,69;3;38,24;3;31,2;31,9;29,9;59,3
16/10/2025;900;16,87;3;87,44;3;15,4;90,0;17,0;87,0
20/10/2025;100;13,7;3;74,26;3;12,7;73,5;13,4;78,4
19/10/2025;100;19,27;3;94,57;3;18,3;99,1;19,4;88,1
16/10/2025;600;17,48;3;84,9;3;16,6;85,6;17,2;86,8
19/10/2025;1900;18,97;3;59,73;3;17,6;60,4;18,2;69,7
16/10/2025;0;19,62;3;75,87;3;18,7;76,0;19,6;81,4
21/10/2025;2300;16,76;3;63,26;3;15,8;63,7;16,2;70,4
18/10/2025;1900;19,68;3;96,06;3;18,6;95,3;20,1;90,4
20/10/2025;1700;21,6;3;40,45;3;21,0;38,9;20,4;49,3
21/10/2025;100;14,17;2;67,63;2;13,0;67,2;;
21/10/2025;2100;20,65;3;50,37;3;19,6;50,5;19,2;62,6
18/10/2025;2100;19,62;3;96,01;3;18,6;96,8;19,4;88,7
20/10/2025;1800;21,67;3;39,48;3;21,1;37,7;20,9;47,3
17/10/2025;500;21,31;3;65,58;3;19,3;70,6;23,2;57,0
17/10/2025;1600;34,49;3;30,53;3;33,1;30,0;34,6;34,7
22/10/2025;300;14,66;3;68,12;3;13,6;67,1;14,2;72,8
19/10/2025;1500;19,19;3;62,73;3;18,9;60,0;18,5;71,6
22/10/2025;1000;14,47;3;66,76;3;13,2;68,0;15,4;61,2
20/10/2025;200;13,49;3;76,72;3;12,3;78,9;13,4;78,6
21/10/2025;800;11,86;2;65,65;2;11,0;65,1;;
18/10/2025;600;18,99;3;96,95;3;18,0;97,1;20,3;91,8
20/10/2025;1500;20,9;3;41,48;3;20,5;39,5;20,0;50,8
20/10/2025;1600;21,66;3;40,71;3;21,0;38,6;20,8;51,7
17/10/2025;400;22,02;3;60,43;3;20,1;66,3;23,7;49,9
18/10/2025;100;22,73;3;80,49;3;21,2;86,3;21,9;89,4
18/10/2025;2000;19,8;3;96,26;3;18,6;96,6;19,9;89,8
19/10/2025;700;14,79;3;74,12;3;13,9;73,0;13,9;80,2
15/10/2025;1200;22,63;3;58,5;3;22,4;56,9;23,4;60,8
22/10/2025;800;13,07;3;72,45;3;11,5;74,8;13,5;70,3
21/10/2025;1500;22,72;3;32,31;3;22,2;29,6;21,8;41,8
19/10/2025;900;14,84;3;72,88;3;13,9;72,6;14,4;77,7
19/10/2025;1100;16,0;3;72,75;3;15,1;72,2;15,6;77,0
21/10/2025;1700;23,97;3;31,59;3;23,7;28,6;22,9;40,0
22/10/2025;200;15,03;3;68,09;3;14,2;66,6;14,3;72,7
17/10/2025;1900;35,2;3;29,02;3;33,7;28,7;35,1;33,3
16/10/2025;100;19,04;3;78,19;3;18,2;78,6;19,0;82,8
15/10/2025;1700;29,9;3;42,49;3;29,3;40,6;29,2;50,3
18/10/2025;1800;20,96;3;94,64;3;20,4;92,2;22,3;88,4
18/10/2025;1100;21,0;3;94,31;3;20,2;89,3;20,5;92,1
16/10/2025;1800;33,52;3;32,81;3;32,4;32,4;33,7;35,2
15/10/2025;1300;24,53;3;53,31;3;24,2;51,5;24,9;58,1
17/10/2025;1000;19,39;3;74,26;3;18,0;77,5;20,8;63,2
22/10/2025;0;16,02;3;65,81;3;15,4;63,7;15,2;71,9
22/10/2025;600;13,38;2;71,65;2;11,6;75,4;;
19/10/2025;2100;15,99;3;63,63;3;15,3;62,2;14,9;70,2
16/10/2025;200;18,77;3;79,49;3;17,9;79,7;18,8;82,7
17/10/2025;600;20,35;3;68,93;3;18,5;73,9;22,0;54,6
15/10/2025;2300;20,79;3;71,27;3;19,5;72,3;20,3;78,5
16/10/2025;800;17,08;3;86,45;3;16,1;87,4;16,4;88,5
20/10/2025;1200;17,03;3;51,9;3;16,6;48,0;16,7;56,7
15/10/2025;2100;25,96;3;55,71;3;24,7;55,1;24,4;67,6
16/10/2025;500;17,85;3;83,2;3;17,2;82,2;17,6;86,0
15/10/2025;900;16,79;3;78,19;3;15,9;78,9;17,2;80,4
19/10/2025;1000;15,27;3;73,56;3;14,4;72,9;14,8;77,1
20/10/2025;2200;17,11;2;48,89;2;16,0;51,6;;
20/10/2025;500;12,45;3;77,45;3;11,2;78,7;12,5;78,7
21/10/2025;300;14,01;2;67,08;2;12,9;65,3;;
21/10/2025;1800;24,4;3;30,37;3;24,0;28,2;23,5;38,1
18/10/2025;300;21,36;3;90,59;3;21,1;83,9;21,9;86,3
16/10/2025;1400;28,23;3;49,68;3;27,3;48,9;28,4;53,4
18/10/2025;2300;19,69;3;95,78;3;18,8;98,7;19,6;85,9
21/10/2025;1000;12,69;2;66,74;2;12,2;66,0;;
16/10/2025;1700;32,99;3;35,1;3;31,8;34,3;33,2;37,7
19/10/2025;1200;16,59;3;72,67;3;16,2;70,5;15,5;82,2
18/10/2025;900;19,65;3;95,41;3;19,4;91,5;20,0;91,9
16/10/2025;1300;26,53;3;54,31;3;25,9;53,1;27,4;56,7
18/10/2025;1600;22,75;3;86,88;3;21,8;86,6;23,0;86,0
16/10/2025;1500;30,42;3;41,99;3;29,3;42,0;30,6;45,4
19/10/2025;600;15,08;3;73,32;3;14,0;70,9;14,2;79,1
21/10/2025;0;14,68;2;63,79;2;13,7;61,7;;
17/10/2025;1400;31,79;3;36,44;3;30,8;36,9;31,8;38,0
19/10/2025;1800;19,6;3;58,92;3;18,7;57,9;18,4;69,8
19/10/2025;1600;19,85;3;58,51;3;19,2;58,1;19,3;65,0
18/10/2025;700;19,04;3;97,25;3;18,0;98,4;20,0;91,6
15/10/2025;1800;30,33;3;41,81;3;28,9;42,0;29,7;49,3
16/10/2025;1600;31,7;3;38,73;3;30,7;37,7;31,9;43,6
20/10/2025;2000;20,22;2;39,27;2;19,3;41,3;;
18/10/2025;1700;22,37;3;89,34;3;21,9;83,6;22,8;85,3
18/10/2025;200;22,64;3;79,41;3;21,3;84,8;21,8;86,5
17/10/2025;1800;35,46;3;28,29;3;34,1;27,0;35,3;34,0
18/10/2025;1000;20,14;3;95,66;3;19,5;92,0;20,2;92,3
