Contagem;Dispositivo;Data;Hora;Temperatura;Umidade
1;Pico W_F0BB;05/10/2025;11:57:13;31.5;40.3
2;Pico W_F0BB;05/10/2025;11:57:33;31.5;40.9
3;Pico W_F0BB;05/10/2025;11:57:53;31.4;40.9
4;Pico W_F0BB;05/10/2025;11:58:14;31.5;40.4
5;Pico W_F0BB;05/10/2025;11:58:34;31.5;40.3
6;Pico W_F0BB;05/10/2025;11:58:54;31.6;40.7
7;Pico W_F0BB;05/10/2025;11:59:15;31.6;39.6
8;Pico W_F0BB;05/10/2025;11:59:35;31.6;40.3
9;Pico W_F0BB;05/10/2025;11:59:55;31.5;40.8
10;Pico W_F0BB;05/10/2025;12:00:16;31.5;39.7
11;Pico W_F0BB;05/10/2025;12:00:36;31.4;40.3
12;Pico W_F0BB;05/10/2025;12:00:56;31.3;42
13;Pico W_F0BB;05/10/2025;12:01:17;31.2;40.5
14;Pico W_F0BB;05/10/2025;12:01:37;31.3;39.4
15;Pico W_F0BB;05/10/2025;12:01:57;31.4;39.7
16;Pico W_F0BB;05/10/2025;12:02:17;31.4;39
17;Pico W_F0BB;05/10/2025;12:02:38;31.3;39
18;Pico W_F0BB;05/10/2025;12:02:58;31.2;40.4
19;Pico W_F0BB;05/10/2025;12:03:18;31.2;40.3
20;Pico W_F0BB;05/10/2025;12:03:39;31.3;40.5
21;Pico W_F0BB;05/10/2025;12:03:59;31.4;40.3
22;Pico W_F0BB;05/10/2025;12:04:19;31.5;40.1
23;Pico W_F0BB;05/10/2025;12:04:40;31.5;39.3
24;Pico W_F0BB;05/10/2025;12:05:00;31.6;39
25;Pico W_F0BB;05/10/2025;12:05:20;31.6;39.1
26;Pico W_F0BB;05/10/2025;12:05:40;31.6;39.8
27;Pico W_F0BB;05/10/2025;12:06:01;31.7;39.2
28;Pico W_F0BB;05/10/2025;12:06:21;31.7;38.9
29;Pico W_F0BB;05/10/2025;12:06:41;31.8;38.9
30;Pico W_F0BB;05/10/2025;12:07:02;31.8;39.2
