Contagem;Dispositivo;Data;Hora;Temperatura;Umidade
1;Pico W_F0BB;2025-10-11;11:40:10;30.70;47.00
2;Pico W_F0BB;2025-10-11;11:40:30;31.00;47.30
3;Pico W_F0BB;2025-10-11;11:40:50;31.40;47.90
4;Pico W_F0BB;2025-10-11;11:41:11;31.70;48.40
5;Pico W_F0BB;2025-10-11;11:41:31;32.20;48.10
6;Pico W_F0BB;2025-10-11;11:41:51;32.60;46.20
7;Pico W_F0BB;2025-10-11;11:42:12;33.00;44.80
8;Pico W_F0BB;2025-10-11;11:42:32;33.40;44.00
9;Pico W_F0BB;2025-10-11;11:42:52;33.60;44.30
10;Pico W_F0BB;2025-10-11;11:43:13;33.90;43.40
11;Pico W_F0BB;2025-10-11;11:43:33;34.00;42.10
12;Pico W_F0BB;2025-10-11;11:43:53;33.90;41.70
13;Pico W_F0BB;2025-10-11;11:44:14;33.80;40.70
14;Pico W_F0BB;2025-10-11;11:44:34;32.80;41.60
15;Pico W_F0BB;2025-10-11;11:44:54;32.10;43.00
16;Pico W_F0BB;2025-10-11;11:45:14;31.80;44.60
17;Pico W_F0BB;2025-10-11;11:45:35;31.90;45.30
18;Pico W_F0BB;2025-10-11;11:45:55;32.10;44.70
19;Pico W_F0BB;2025-10-11;11:46:15;32.50;44.70
20;Pico W_F0BB;2025-10-11;11:46:36;32.80;44.40
21;Pico W_F0BB;2025-10-11;11:46:56;33.10;43.80
22;Pico W_F0BB;2025-10-11;11:47:16;33.40;42.80
23;Pico W_F0BB;2025-10-11;11:47:37;33.30;43.50
24;Pico W_F0BB;2025-10-11;11:47:57;33.40;43.30
25;Pico W_F0BB;2025-10-11;11:48:17;33.70;42.80
26;Pico W_F0BB;2025-10-11;11:48:37;34.00;42.60
27;Pico W_F0BB;2025-10-11;11:48:58;34.20;42.20
28;Pico W_F0BB;2025-10-11;11:49:18;34.10;41.80
29;Pico W_F0BB;2025-10-11;11:49:38;33.80;41.90
30;Pico W_F0BB;2025-10-11;11:49:59;34.20;41.30
31;Pico W_F0BB;2025-10-11;11:50:19;34.50;40.50
32;Pico W_F0BB;2025-10-11;11:50:39;34.70;40.20
33;Pico W_F0BB;2025-10-11;11:51:00;34.90;40.20
34;Pico W_F0BB;2025-10-11;11:51:20;35.00;39.80
35;Pico W_F0BB;2025-10-11;11:51:40;35.10;39.10
36;Pico W_F0BB;2025-10-11;11:52:01;35.20;39.60
37;Pico W_F0BB;2025-10-11;11:52:21;35.40;39.50
38;Pico W_F0BB;2025-10-11;11:52:41;35.50;39.40
39;Pico W_F0BB;2025-10-11;11:53:01;35.50;39.30
