Contagem;Dispositivo;Data_Hora_Coleta;Temperatura_C;Umidade_%
46;Pico W_F0BB;2021-01-01 00:15:19;23.60;67.60
47;Pico W_F0BB;2021-01-01 00:15:39;23.50;67.80
48;Pico W_F0BB;2021-01-01 00:15:59;23.40;69.30
49;Pico W_F0BB;2021-01-01 00:16:20;23.30;72.50
50;Pico W_F0BB;2021-01-01 00:16:40;23.20;74.40
51;Pico W_F0BB;2021-01-01 00:17:00;23.00;74.80
52;Pico W_F0BB;2021-01-01 00:17:21;22.90;75.80
53;Pico W_F0BB;2021-01-01 00:17:41;22.70;77.00
54;Pico W_F0BB;2021-01-01 00:18:01;22.60;77.30
55;Pico W_F0BB;2021-01-01 00:18:22;22.50;77.30
56;Pico W_F0BB;2021-01-01 00:18:42;22.50;77.50
57;Pico W_F0BB;2021-01-01 00:19:02;22.40;77.10
58;Pico W_F0BB;2021-01-01 00:19:22;22.40;77.10
59;Pico W_F0BB;2021-01-01 00:19:43;22.30;77.00
60;Pico W_F0BB;2021-01-01 00:20:03;22.30;77.20
61;Pico W_F0BB;2021-01-01 00:20:23;22.30;77.10
62;Pico W_F0BB;2021-01-01 00:20:44;22.30;77.30
63;Pico W_F0BB;2021-01-01 00:21:04;22.30;77.90
64;Pico W_F0BB;2021-01-01 00:21:24;22.20;78.40
65;Pico W_F0BB;2021-01-01 00:21:45;22.20;78.40
66;Pico W_F0BB;2021-01-01 00:22:05;22.10;79.20
67;Pico W_F0BB;2021-01-01 00:22:25;22.10;77.10
68;Pico W_F0BB;2021-01-01 00:22:45;22.20;76.00
69;Pico W_F0BB;2021-01-01 00:23:06;22.20;75.80
70;Pico W_F0BB;2021-01-01 00:23:26;22.20;75.40
71;Pico W_F0BB;2021-01-01 00:23:46;22.30;74.70
72;Pico W_F0BB;2021-01-01 00:24:07;22.30;73.50
73;Pico W_F0BB;2021-01-01 00:24:27;22.40;72.50
