916,2025-10-04,18:41:24,21.70,80.70
917,2025-10-04,18:41:44,21.70,81.00
918,2025-10-04,18:42:04,21.70,81.20
919,2025-10-04,18:42:24,21.70,81.20
920,2025-10-04,18:42:44,21.70,81.30
921,2025-10-04,18:43:04,21.70,81.10
922,2025-10-04,18:43:24,21.70,80.50
923,2025-10-04,18:43:44,21.70,80.10
924,2025-10-04,18:44:04,21.70,80.00
925,2025-10-04,18:44:24,21.70,79.70
926,2025-10-04,18:44:44,21.70,79.50
927,2025-10-04,18:45:04,21.70,79.60
928,2025-10-04,18:45:24,21.70,79.50
929,2025-10-04,18:45:44,21.70,79.90
930,2025-10-04,18:46:04,21.70,80.90
931,2025-10-04,18:46:24,21.70,81.40
932,2025-10-04,18:46:44,21.70,81.40
933,2025-10-04,18:47:03,21.60,81.60
934,2025-10-04,18:47:23,21.60,81.50
935,2025-10-04,18:47:43,21.60,81.10
936,2025-10-04,18:48:03,21.60,81.10
937,2025-10-04,18:48:23,21.60,81.10
938,2025-10-04,18:48:43,21.60,80.80
939,2025-10-04,18:49:03,21.60,80.60
940,2025-10-04,18:49:23,21.60,80.50
941,2025-10-04,18:49:43,21.60,80.60
942,2025-10-04,18:50:03,21.60,81.30
943,2025-10-04,18:50:23,21.60,81.10
944,2025-10-04,18:50:43,21.60,80.70
945,2025-10-04,18:51:03,21.60,80.40
946,2025-10-04,18:51:23,21.50,80.20
947,2025-10-04,18:51:43,21.60,80.10
948,2025-10-04,18:52:03,21.60,80.20
949,2025-10-04,18:52:23,21.60,80.10
950,2025-10-04,18:52:43,21.60,80.10
951,2025-10-04,18:53:03,21.60,80.50
952,2025-10-04,18:53:23,21.60,80.70
953,2025-10-04,18:53:43,21.60,80.70
954,2025-10-04,18:54:03,21.60,80.70
955,2025-10-04,18:54:23,21.60,80.80
956,2025-10-04,18:54:43,21.60,80.70
957,2025-10-04,18:55:03,21.60,80.60
958,2025-10-04,18:55:23,21.60,80.60
959,2025-10-04,18:55:43,21.60,80.70
960,2025-10-04,18:56:03,21.60,80.60
961,2025-10-04,18:56:23,21.50,80.50
962,2025-10-04,18:56:43,21.50,80.40
963,2025-10-04,18:57:03,21.60,80.20
964,2025-10-04,18:57:23,21.50,80.00
965,2025-10-04,18:57:43,21.50,79.70
966,2025-10-04,18:58:03,21.50,79.60
967,2025-10-04,18:58:23,21.50,79.30
968,2025-10-04,18:58:43,21.50,79.10
969,2025-10-04,18:59:03,21.40,79.20
970,2025-10-04,18:59:23,21.50,79.40
971,2025-10-04,18:59:43,21.50,79.30
972,2025-10-04,19:00:03,21.50,79.20
973,2025-10-04,19:00:23,21.50,79.40
974,2025-10-04,19:00:43,21.40,79.20
975,2025-10-04,19:01:03,21.40,79.20
976,2025-10-04,19:01:23,21.40,78.80
977,2025-10-04,19:01:43,21.40,78.50
978,2025-10-04,19:02:03,21.40,78.50
979,2025-10-04,19:02:23,21.40,78.90
980,2025-10-04,19:02:43,21.40,79.00
981,2025-10-04,19:03:03,21.40,79.20
982,2025-10-04,19:03:23,21.30,79.10
983,2025-10-04,19:03:43,21.30,79.20
984,2025-10-04,19:04:03,21.30,79.60
985,2025-10-04,19:04:23,21.30,79.90
986,2025-10-04,19:04:43,21.30,80.00
987,2025-10-04,19:05:03,21.30,79.90
988,2025-10-04,19:05:23,21.30,80.00
989,2025-10-04,19:05:43,21.30,80.50
990,2025-10-04,19:06:03,21.30,80.80
991,2025-10-04,19:06:23,21.30,80.90
992,2025-10-04,19:06:43,21.20,80.80
993,2025-10-04,19:07:03,21.30,80.80
994,2025-10-04,19:07:23,21.30,80.80
995,2025-10-04,19:07:43,21.30,80.90
996,2025-10-04,19:08:03,21.30,81.20
997,2025-10-04,19:08:23,21.20,81.50
998,2025-10-04,19:08:43,21.30,81.50
999,2025-10-04,19:09:03,21.20,81.70
1000,2025-10-04,19:09:23,21.20,81.60
1001,2025-10-04,19:09:43,21.20,81.90
1002,2025-10-04,19:10:03,21.20,82.10
1003,2025-10-04,19:10:23,21.10,82.20
1004,2025-10-04,19:10:43,21.10,82.20
1005,2025-10-04,19:11:03,21.10,82.40
1006,2025-10-04,19:11:23,21.10,82.70
1007,2025-10-04,19:11:43,21.10,82.70
1008,2025-10-04,19:12:03,21.10,82.50
1009,2025-10-04,19:12:23,21.10,82.50
1010,2025-10-04,19:12:43,21.10,82.50
1011,2025-10-04,19:13:03,21.10,82.40
1012,2025-10-04,19:13:23,21.10,82.20
1013,2025-10-04,19:13:43,21.00,82.10
1014,2025-10-04,19:14:03,21.00,82.00
1015,2025-10-04,19:14:23,21.00,81.80
1016,2025-10-04,19:14:43,21.00,81.60
1017,2025-10-04,19:15:03,21.00,81.80
1018,2025-10-04,19:15:23,21.00,82.10
1019,2025-10-04,19:15:43,21.00,82.30
1020,2025-10-04,19:16:03,21.00,82.40
1021,2025-10-04,19:16:23,21.00,82.20
1022,2025-10-04,19:16:43,21.00,82.30
1023,2025-10-04,19:17:03,21.00,82.00
1024,2025-10-04,19:17:23,21.00,81.70
1025,2025-10-04,19:17:43,21.00,81.50
1026,2025-10-04,19:18:03,21.00,81.60
1027,2025-10-04,19:18:23,21.00,81.70
1028,2025-10-04,19:18:43,21.00,81.80
1029,2025-10-04,19:19:03,21.00,81.70
1030,2025-10-04,19:19:23,21.00,81.80
1031,2025-10-04,19:19:43,21.00,81.80
1032,2025-10-04,19:20:03,21.00,81.90
1033,2025-10-04,19:20:23,21.00,82.00
